candidate_id,decision,rule_plausibility_label,evidence_sufficiency_label,reasons,target_masked_score,dataset,model_key,operation,error_type,error_category,source_text,target_text,rule_text,rationale,evidence_spans_json
rf-edit-0058::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,ready_for_human_spotcheck,plausible,sufficient,,1.0,EXPECT,gector_roberta_base,replace,M:DET,lexical_choice,Variety,A variety,Use of definite or indefinite articles for noun phrases,"The edit adds the indefinite article 'a' before 'variety', which is stylistically preferred when referring to a general category rather than a specific instance. While the original sentence is grammatically correct without the article, adding 'a' makes the sentence more natural and idiomatic in standard English usage. The cited source evidence is ""buses"" as head noun.","[{""end"": 1, ""role"": ""source"", ""source"": ""kept_existing"", ""start"": 0, ""text"": ""Variety""}, {""end"": 3, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 2, ""text"": ""buses""}]"
rf-edit-0058::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,ready_for_human_spotcheck,plausible,sufficient,,1.0,EXPECT,gector_roberta_base,replace,M:DET,lexical_choice,Variety,A variety,Use of definite or indefinite articles for noun phrases,"The original sentence begins with 'Variety', which is a non-count noun and does not require an article. Adding 'A' before 'variety' makes the noun phrase grammatically complete and more natural in standard English usage. The cited source evidence is ""buses"" as head noun.","[{""end"": 3, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 2, ""text"": ""buses""}]"
rf-edit-0138::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,ready_for_human_spotcheck,plausible,sufficient,,1.0,EXPECT,t5_base_grammar,replace,R:NOUN,lexical_choice,civilization,"civilization,",A comma should be used after introductory phrases or clauses to separate them from the main clause.,"The addition of a comma after 'civilization' separates the introductory phrase from the main clause, improving clarity and adhering to standard punctuation rules. However, this edit is considered stylistic rather than grammatically necessary, as the sentence remains understandable without the comma. The cited source evidence is ""civilization"" as modified token; ""Egyptian"" as noun number context; ""has"" as noun phrase context.","[{""end"": 10, ""role"": ""modified_text"", ""source"": ""kept_existing"", ""start"": 9, ""text"": ""civilization""}, {""end"": 10, ""role"": ""modified_token"", ""source"": ""structured_heuristic"", ""start"": 9, ""text"": ""civilization""}, {""end"": 9, ""role"": ""noun_number_context"", ""source"": ""structured_heuristic"", ""start"": 8, ""text"": ""Egyptian""}, {""end"": 11, ""role"": ""noun_phrase_context"", ""source"": ""structured_heuristic"", ""start"": 10, ""text"": ""has""}]"
rf-edit-0138::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,ready_for_human_spotcheck,plausible,sufficient,,1.0,EXPECT,t5_base_grammar,replace,R:NOUN,lexical_choice,civilization,"civilization,",A comma should be used after introductory elements to separate clauses.,"The edit adds a comma after 'civilization' to separate the introductory phrase from the main clause, which is a stylistic choice to improve readability and clarity. However, this comma is not strictly necessary for grammatical correctness, making the edit optional rather than mandatory. The cited source evidence is ""civilization"" as modified token; ""Egyptian"" as noun number context; ""has"" as noun phrase context.","[{""end"": 10, ""role"": ""modified_text"", ""source"": ""kept_existing"", ""start"": 9, ""text"": ""civilization""}, {""end"": 10, ""role"": ""modified_token"", ""source"": ""structured_heuristic"", ""start"": 9, ""text"": ""civilization""}, {""end"": 9, ""role"": ""noun_number_context"", ""source"": ""structured_heuristic"", ""start"": 8, ""text"": ""Egyptian""}, {""end"": 11, ""role"": ""noun_phrase_context"", ""source"": ""structured_heuristic"", ""start"": 10, ""text"": ""has""}]"
rf-edit-0255::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,ready_for_human_spotcheck,plausible,sufficient,,1.0,EXPECT,coedit_large,replace,R:NOUN,lexical_choice,sister,sister.,A period should follow a complete sentence.,"The word 'sister' at the end of the first sentence is followed by a comma, which indicates the sentence is not yet complete. Adding a period after 'sister' would properly terminate the sentence, making it grammatically correct and stylistically appropriate. The cited source evidence is ""sister"" as modified token; ""little"" as noun number context; ""she"" as noun phrase context.","[{""end"": 8, ""role"": ""token"", ""source"": ""kept_existing"", ""start"": 7, ""text"": ""sister""}, {""end"": 8, ""role"": ""modified_token"", ""source"": ""structured_heuristic"", ""start"": 7, ""text"": ""sister""}, {""end"": 7, ""role"": ""noun_number_context"", ""source"": ""structured_heuristic"", ""start"": 6, ""text"": ""little""}, {""end"": 10, ""role"": ""noun_phrase_context"", ""source"": ""structured_heuristic"", ""start"": 9, ""text"": ""she""}]"
rf-edit-0255::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,ready_for_human_spotcheck,plausible,sufficient,,1.0,EXPECT,coedit_large,replace,R:NOUN,lexical_choice,sister,sister.,A period should follow a complete sentence.,"The word 'sister' at the end of the first sentence is followed by a comma, which is incorrect because the sentence is complete. Adding a period after 'sister' would properly terminate the sentence. The cited source evidence is ""sister"" as modified token; ""little"" as noun number context; ""she"" as noun phrase context.","[{""end"": 8, ""role"": ""token"", ""source"": ""kept_existing"", ""start"": 7, ""text"": ""sister""}, {""end"": 8, ""role"": ""modified_token"", ""source"": ""structured_heuristic"", ""start"": 7, ""text"": ""sister""}, {""end"": 7, ""role"": ""noun_number_context"", ""source"": ""structured_heuristic"", ""start"": 6, ""text"": ""little""}, {""end"": 10, ""role"": ""noun_phrase_context"", ""source"": ""structured_heuristic"", ""start"": 9, ""text"": ""she""}]"
rf-edit-0276::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,ready_for_human_spotcheck,plausible,sufficient,,1.0,EXPECT,coedit_large,delete,U:DET,articles_determiners,the,,Articles like 'the' may be omitted when the noun phrase is clearly defined or when the context makes the reference unambiguous.,"The article 'the' before 'latter half of the 20th century' is stylistically optional because the time period is clearly defined and widely understood in the context. Removing it results in a more concise and natural phrasing. The cited source evidence is ""people"" as head noun.","[{""end"": 9, ""role"": ""deleted"", ""source"": ""kept_existing"", ""start"": 8, ""text"": ""the""}, {""end"": 10, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 9, ""text"": ""people""}]"
rf-edit-0276::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,ready_for_human_spotcheck,plausible,sufficient,,1.0,EXPECT,coedit_large,delete,U:DET,articles_determiners,the,,Articles like 'the' may be omitted when referring to general time periods or categories.,"The article 'the' is stylistically unnecessary before 'latter half of the 20th century' because it refers to a general time period rather than a specific instance. Removing 'the' makes the sentence more concise and natural in standard English usage. The cited source evidence is ""people"" as head noun.","[{""end"": 9, ""role"": ""deleted"", ""source"": ""kept_existing"", ""start"": 8, ""text"": ""the""}, {""end"": 10, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 9, ""text"": ""people""}]"
rf-edit-0035::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,ready_for_human_spotcheck,plausible,sufficient,,1.0,EXPECT,gector_roberta_base,insert,M:NOUN:POSS,lexical_choice,,',Use an apostrophe to indicate possession in plural nouns.,"The cited source evidence is ""peoples"" as noun number context; ""lives"" as noun phrase context. This evidence supports the rule that Use an apostrophe to indicate possession in plural nouns.","[{""end"": 17, ""role"": ""noun_number_context"", ""source"": ""structured_heuristic"", ""start"": 16, ""text"": ""peoples""}, {""end"": 18, ""role"": ""noun_phrase_context"", ""source"": ""structured_heuristic"", ""start"": 17, ""text"": ""lives""}]"
rf-edit-0165::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,ready_for_human_spotcheck,plausible,sufficient,,1.0,EXPECT,t5_base_grammar,insert,M:DET,articles_determiners,,a,Articles should be used to specify definiteness or indefiniteness in nouns.,"The cited source evidence is ""positive"" as head noun. This evidence supports the rule that Articles should be used to specify definiteness or indefiniteness in nouns.","[{""end"": 18, ""role"": ""affected"", ""source"": ""kept_existing"", ""start"": 14, ""text"": ""as well as positive""}, {""end"": 18, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 17, ""text"": ""positive""}]"
