candidate_id,edit_group,candidate_style,dataset,model_key,operation,error_category,confidence,pseudo_overall_decision,pseudo_rule_plausibility,pseudo_evidence_sufficiency,rulefaith_score,rulefaith_bucket,alignment_proxy,category_signal,grammar_signal,rationale_edit_copy,rule_target_copy,rationale_target_copy,generic,false_rationalization,evidence_count,exact_source_evidence_count,specific_source_evidence_count,evidence_mentioned_count
rf-edit-0016::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0016,natural,JFLEG,gector_roberta_base,delete,articles_determiners,0.95,refine,weak,sufficient,0.97,accept,1.0,True,True,False,False,False,False,False,2,2,1,1
rf-edit-0016::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0016,rule_grounded,JFLEG,gector_roberta_base,delete,articles_determiners,0.95,accept,plausible,sufficient,0.66,refine,1.0,True,True,False,False,False,False,True,2,2,1,1
rf-edit-0023::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0023,natural,JFLEG,gector_roberta_base,replace,articles_determiners,0.95,accept,plausible,sufficient,0.57,refine,1.0,True,True,False,True,True,False,True,2,2,1,1
rf-edit-0023::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0023,rule_grounded,JFLEG,gector_roberta_base,replace,articles_determiners,0.95,accept,plausible,sufficient,0.57,refine,1.0,True,True,False,True,True,False,True,2,2,1,1
rf-edit-0033::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0033,natural,EXPECT,gector_roberta_base,delete,articles_determiners,0.9,accept,plausible,sufficient,0.97,accept,1.0,True,True,False,False,False,False,False,1,1,1,1
rf-edit-0051::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0051,natural,EXPECT,gector_roberta_base,replace,prepositions,0.95,accept,plausible,sufficient,0.91,accept,1.0,True,True,False,True,True,False,False,2,2,2,2
rf-edit-0051::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0051,rule_grounded,EXPECT,gector_roberta_base,replace,prepositions,0.95,accept,plausible,sufficient,0.91,accept,1.0,True,True,False,True,True,False,False,2,2,2,2
rf-edit-0062::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0062,natural,JFLEG,gector_roberta_base,replace,pronouns,0.85,refine,weak,partial,0.96,accept,1.0,True,True,False,False,True,False,False,3,3,2,1
rf-edit-0062::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0062,rule_grounded,JFLEG,gector_roberta_base,replace,pronouns,0.9,refine,weak,partial,0.91,accept,1.0,True,True,False,True,True,False,False,3,3,2,1
rf-edit-0127::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0127,natural,EXPECT,t5_base_grammar,replace,prepositions,0.95,accept,plausible,sufficient,0.91,accept,1.0,True,True,False,True,True,False,False,2,2,2,2
rf-edit-0127::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0127,rule_grounded,EXPECT,t5_base_grammar,replace,prepositions,0.95,accept,plausible,sufficient,0.91,accept,1.0,True,True,False,True,True,False,False,2,2,2,2
rf-edit-0163::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0163,rule_grounded,EXPECT,t5_base_grammar,replace,prepositions,0.85,reject,implausible,partial,0.67,refine,1.0,False,False,False,True,True,False,False,3,3,2,2
rf-edit-0163::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0163,natural,EXPECT,t5_base_grammar,replace,prepositions,0.85,reject,implausible,partial,0.67,refine,1.0,False,False,False,True,True,False,False,2,2,2,2
rf-edit-0191::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rf-edit-0191,natural,JFLEG,t5_base_grammar,delete,articles_determiners,0.95,refine,weak,sufficient,0.97,accept,1.0,True,True,False,False,False,False,False,2,2,1,1
rf-edit-0191::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rf-edit-0191,rule_grounded,JFLEG,t5_base_grammar,delete,articles_determiners,0.95,accept,plausible,sufficient,0.66,refine,1.0,True,True,False,False,False,False,True,2,2,1,1
