candidate_id,bucket,selected_for_manual_audit,audit_priority,dataset,sample_id,model_key,model_family,behavior,operation,error_type,error_category,candidate_type,rulefaith_split,source,model_prediction,edit_start,edit_end,source_text,target_text,edit_description,edit_validity,rule_text,evidence_spans_json,rationale,confidence,abstain,abstain_reason,generator_input_fields,leakage_input_violation,source_span_match,target_present_in_prediction,evidence_span_index_match,evidence_all_spans_source_index_match,evidence_text_found_in_source,evidence_text_found_in_prediction_only,evidence_contextual,evidence_valid_source_span_count,evidence_invalid_source_span_count,evidence_contextual_source_count,evidence_edit_token_only_count,evidence_error_types,missing_evidence,wrong_evidence_auto,missing_rule,rule_edit_copy,target_copy,edit_copy,generic_explanation,possible_false_rationalization,unsupported_confidence,alignment_error,validity_error_auto,semantic_distortion_auto,risk_count,risk_reasons,human_alignment_error,human_validity_error,human_wrong_rule,human_inapplicable_rule,human_missing_evidence,human_wrong_evidence,human_generic_explanation,human_edit_copy,human_semantic_distortion,human_unsupported_confidence,human_notes,human_decision
rf-edit-0026::qwen3_8b::natural,accepted,True,stratum:behavior=wrong_correction,JFLEG,jfleg-dev-0012,gector_roberta_base,sequence-to-edit,wrong_correction,replace,R:DET,lexical_choice,natural,test,"It is true that consumers preffer to buy a product that has a lower price , but when international companies that has already the certification begins to send its market , people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much .","It is true that consumers prefer to buy a product that has a lower price , but when international companies that have already the certification begin to send their market , people will prefer to consume theirs because the difference between prices is probably not going to affect them too much .",28,29,its,their,Replace 'its' with 'their' to correctly refer to the plural subject 'international companies'.,valid,Pronouns must agree with their antecedents in number (singular/plural) and gender (if applicable).,"[{""end"": 40, ""role"": ""antecedent"", ""start"": 16, ""text"": ""international companies that have already the certification""}, {""end"": 30, ""role"": ""pronoun"", ""start"": 28, ""text"": ""its""}]",The pronoun 'its' is singular and does not match the plural antecedent 'international companies'. Replacing 'its' with 'their' ensures grammatical agreement between the subject and the possessive pronoun.,1.0,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,1,index_text_mismatch;prediction_only_text,True,True,False,False,True,True,False,True,True,False,True,True,11,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto,,,,,,,,,,,,
rf-edit-0151::qwen3_8b::natural,accepted,True,risk,EXPECT,expect-test-00036,t5_base_grammar,sequence-to-sequence,overcorrection,insert,M:OTHER,lexical_choice,natural,dev,public transportation . day by day folk are more crazy about own vehicles which leads dark future for public transportation,"Public transportation. Day by day people are more crazy about own vehicles, which leads to a dark future for public transportation.",15,15,,to a,Inserting 'to a' after 'leads' to complete the prepositional phrase,valid,A preposition such as 'lead to' requires a complement (noun phrase) to complete its meaning.,"[{""end"": 26, ""role"": ""affected_span"", ""start"": 15, ""text"": ""leads dark future""}, {""end"": 30, ""role"": ""corrected_span"", ""start"": 15, ""text"": ""leads to a dark future""}]","The original sentence contains an incomplete prepositional phrase 'leads dark future'. The verb 'lead' in this context requires the preposition 'to' followed by a noun phrase. Inserting 'to a' completes the phrase correctly as 'leads to a dark future', making the sentence grammatically accurate.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,1,invalid_indices;prediction_only_text,True,True,False,False,True,True,False,True,True,False,True,True,11,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto,,,,,,,,,,,,
rf-edit-0151::qwen3_8b::rule_grounded,accepted,True,risk,EXPECT,expect-test-00036,t5_base_grammar,sequence-to-sequence,overcorrection,insert,M:OTHER,lexical_choice,rule_grounded,dev,public transportation . day by day folk are more crazy about own vehicles which leads dark future for public transportation,"Public transportation. Day by day people are more crazy about own vehicles, which leads to a dark future for public transportation.",15,15,,to a,Inserting 'to a' after 'leads' to complete the prepositional phrase,valid,A preposition such as 'lead to' requires a complement (noun phrase) to complete its meaning.,"[{""end"": 26, ""role"": ""affected_span"", ""start"": 15, ""text"": ""leads dark future""}, {""end"": 30, ""role"": ""corrected_span"", ""start"": 15, ""text"": ""leads to a dark future""}]","The original sentence contains an incomplete prepositional phrase 'leads dark future'. The verb 'lead' in this context requires the preposition 'to' followed by a noun phrase. Inserting 'to a' completes the phrase correctly as 'leads to a dark future', making the sentence grammatically accurate.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,1,invalid_indices;prediction_only_text,True,True,False,False,True,True,False,True,True,False,True,True,11,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto,,,,,,,,,,,,
rf-edit-0021::qwen3_8b::natural,accepted,True,risk,JFLEG,jfleg-dev-0018,gector_roberta_base,sequence-to-edit,wrong_correction,replace,R:OTHER,lexical_choice,natural,train,"I was very fast , my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country .","I was very fast . My best time was 5 5 5 seconds in 4 0 0 hundred meters , which is a good time in the country .",23,24,or,the,Replace 'or' with 'the' to correct the definite article usage.,valid,Use 'the' before a noun when referring to a specific or previously mentioned entity.,"[{""end"": 27, ""role"": ""error"", ""start"": 23, ""text"": ""or country""}, {""end"": 27, ""role"": ""correction"", ""start"": 23, ""text"": ""the country""}]","The phrase 'in or country' is grammatically incorrect because 'or' is a conjunction, not an article. The correct article to use before 'country' is 'the', as it refers to a specific country (likely the speaker's own country) in the context.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,2,invalid_indices;prediction_only_text,True,True,False,False,True,True,False,False,True,False,True,True,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto,,,,,,,,,,,,
rf-edit-0021::qwen3_8b::rule_grounded,accepted,True,risk,JFLEG,jfleg-dev-0018,gector_roberta_base,sequence-to-edit,wrong_correction,replace,R:OTHER,lexical_choice,rule_grounded,train,"I was very fast , my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country .","I was very fast . My best time was 5 5 5 seconds in 4 0 0 hundred meters , which is a good time in the country .",23,24,or,the,Replace 'or' with 'the' to correct the definite article usage.,valid,Use 'the' before a noun when referring to a specific or previously mentioned entity.,"[{""end"": 27, ""role"": ""error_span"", ""start"": 23, ""text"": ""in or country""}, {""end"": 27, ""role"": ""corrected_span"", ""start"": 23, ""text"": ""in the country""}]",The word 'or' is incorrect in this context because it is not a determiner. The correct definite article 'the' should be used before 'country' to indicate a specific reference.,1.0,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,2,invalid_indices;prediction_only_text,True,True,False,False,True,True,False,False,True,False,True,True,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto,,,,,,,,,,,,
rf-edit-0026::qwen3_8b::rule_grounded,accepted,True,risk,JFLEG,jfleg-dev-0012,gector_roberta_base,sequence-to-edit,wrong_correction,replace,R:DET,lexical_choice,rule_grounded,test,"It is true that consumers preffer to buy a product that has a lower price , but when international companies that has already the certification begins to send its market , people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much .","It is true that consumers prefer to buy a product that has a lower price , but when international companies that have already the certification begin to send their market , people will prefer to consume theirs because the difference between prices is probably not going to affect them too much .",28,29,its,their,Replace 'its' with 'their' to correctly refer to the plural subject 'international companies'.,valid,Pronouns must agree with their antecedents in number (singular/plural) and gender (if applicable).,"[{""end"": 26, ""role"": ""antecedent"", ""start"": 14, ""text"": ""international companies""}, {""end"": 30, ""role"": ""pronoun"", ""start"": 28, ""text"": ""its""}]","The pronoun 'its' is singular and does not agree with the plural antecedent 'international companies'. The correct pronoun to use in this context is 'their', which agrees in number with the plural subject.",1.0,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,False,False,0,2,0,1,index_text_mismatch,True,True,False,False,True,True,False,True,True,False,True,True,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto,,,,,,,,,,,,
rf-edit-0092::qwen3_8b::natural,accepted,True,risk,EXPECT,expect-test-00008,gector_roberta_base,sequence-to-edit,overcorrection,replace,R:PREP,prepositions,natural,train,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant . Its name is "" Lemon "" . I go there every week . It has different food than other restaurants . I 'd like chicken crispy with garlic sauce . It 's an excellent choice for me and my favorite appitizer is susage and for dessert , I 'd like "" Vadge "" cake with chocolate sauce . I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .",25,26,to,than,Replace 'to' with 'than' in the phrase 'different food to other restaurants',valid,Use 'than' to compare two things.,"[{""end"": 26, ""role"": ""error"", ""start"": 25, ""text"": ""It has different food to other restaurants""}, {""end"": 26, ""role"": ""correction"", ""start"": 25, ""text"": ""It has different food than other restaurants""}]","The original sentence uses 'to' in the phrase 'different food to other restaurants', which is incorrect. The correct comparative conjunction to use in this context is 'than', making the sentence grammatically accurate by comparing the food at the restaurant to that of other restaurants.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,2,index_text_mismatch;prediction_only_text,True,True,False,False,True,True,False,False,True,False,True,True,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto,,,,,,,,,,,,
rf-edit-0092::qwen3_8b::rule_grounded,accepted,True,risk,EXPECT,expect-test-00008,gector_roberta_base,sequence-to-edit,overcorrection,replace,R:PREP,prepositions,rule_grounded,train,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant . Its name is "" Lemon "" . I go there every week . It has different food than other restaurants . I 'd like chicken crispy with garlic sauce . It 's an excellent choice for me and my favorite appitizer is susage and for dessert , I 'd like "" Vadge "" cake with chocolate sauce . I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .",25,26,to,than,Replace 'to' with 'than' in the phrase 'different food to other restaurants',valid,"Use 'than' to compare two things, such as 'different from' or 'more than'.","[{""end"": 26, ""role"": ""error"", ""start"": 25, ""text"": ""It has different food to other restaurants""}, {""end"": 26, ""role"": ""correction"", ""start"": 25, ""text"": ""It has different food than other restaurants""}]","The original sentence uses 'to' incorrectly in the phrase 'different food to other restaurants'. The correct comparative conjunction is 'than', which is used to compare two things. This edit corrects the grammatical structure by replacing 'to' with 'than'.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,True,False,0,2,0,2,index_text_mismatch;prediction_only_text,True,True,False,False,True,True,False,False,True,False,True,True,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto,,,,,,,,,,,,
rf-edit-0170::qwen3_8b::natural,accepted,True,risk,EXPECT,expect-test-00005,t5_base_grammar,sequence-to-sequence,wrong_correction,insert,M:DET,articles_determiners,natural,test,They were planning to steal a very precious thing from Museum tonight .,"Then, they were planning to steal a very precious thing from the museum tonight.",10,10,,the,Inserting 'the' before 'museum' to specify which museum is being referred to.,valid,"Definite articles ('the') should be used when referring to specific, known entities.","[{""end"": 14, ""role"": ""noun"", ""start"": 10, ""text"": ""Museum""}]","The noun 'Museum' in the original sentence is used without an article, which makes it unclear whether it refers to a specific museum or a general concept. Adding 'the' clarifies that the sentence is referring to a particular museum, making the sentence more precise and grammatically correct.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,False,False,0,1,0,0,invalid_indices,True,True,False,False,True,True,False,True,True,False,True,True,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto,,,,,,,,,,,,
rf-edit-0170::qwen3_8b::rule_grounded,accepted,True,risk,EXPECT,expect-test-00005,t5_base_grammar,sequence-to-sequence,wrong_correction,insert,M:DET,articles_determiners,rule_grounded,test,They were planning to steal a very precious thing from Museum tonight .,"Then, they were planning to steal a very precious thing from the museum tonight.",10,10,,the,Inserting 'the' before 'museum' to specify which museum is being referred to.,valid,"Definite articles ('the') should be used when referring to specific, known entities.","[{""end"": 13, ""role"": ""noun"", ""start"": 10, ""text"": ""Museum""}]","The noun 'Museum' in the original sentence is used without an article, which makes it unclear which specific museum is being referenced. Adding 'the' clarifies that the sentence is referring to a particular, known museum.",0.95,False,,"[""source"", ""model_prediction"", ""model_edit"", ""edit_span""]",False,True,True,False,False,True,False,False,0,1,0,0,index_text_mismatch,True,True,False,False,True,True,False,True,True,False,True,True,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto,,,,,,,,,,,,
