annotation_item_id,edit_group_id,candidate_id_blind,system_id,system_label,source_candidate_id,rulefaith_score,rulefaith_bucket
rf-nat-0001,rf-natural-0006,candidate-0001,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0058::qwen3_8b::natural,,
rf-nat-0002,rf-natural-0017,candidate-0002,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0265::qwen3_8b::natural,,
rf-nat-0003,rf-natural-0001,candidate-0003,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0016::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,0.97,accept
rf-nat-0004,rf-natural-0011,candidate-0004,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0165::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,0.8272,accept
rf-nat-0005,rf-natural-0016,candidate-0005,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0264::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,0.91,accept
rf-nat-0006,rf-natural-0019,candidate-0006,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0268::qwen3_8b::natural,,
rf-nat-0007,rf-natural-0004,candidate-0007,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0035::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,0.9172,accept
rf-nat-0008,rf-natural-0003,candidate-0008,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0033::qwen3_8b::natural,,
rf-nat-0009,rf-natural-0008,candidate-0009,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0127::qwen3_8b::natural,,
rf-nat-0010,rf-natural-0011,candidate-0010,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0165::qwen3_8b::natural,,
rf-nat-0011,rf-natural-0023,candidate-0011,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0292::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,0.42,reject
rf-nat-0012,rf-natural-0014,candidate-0012,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0225::qwen3_8b::natural,,
rf-nat-0013,rf-natural-0002,candidate-0013,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0023::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,0.57,refine
rf-nat-0014,rf-natural-0014,candidate-0014,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0225::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,0.52,reject
rf-nat-0015,rf-natural-0021,candidate-0015,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0277::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,0.8272,accept
rf-nat-0016,rf-natural-0019,candidate-0016,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0268::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,0.66,refine
rf-nat-0017,rf-natural-0007,candidate-0017,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0062::qwen3_8b::natural,,
rf-nat-0018,rf-natural-0016,candidate-0018,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0264::qwen3_8b::natural,,
rf-nat-0019,rf-natural-0002,candidate-0019,qwen3_direct_natural,Qwen3 direct natural,rf-edit-0023::qwen3_8b::natural,,
rf-nat-0020,rf-natural-0012,candidate-0020,rulefaith_score_top1,RuleFaith deployable top-1,rf-edit-0191::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,0.97,accept
