item_id,task_type,dataset,model_key,model_family,model_behavior,error_type,explanation_type,source,model_prediction,model_edit,explanation,instance_id,edit_id,automatic_label,automatic_negative_type,annotator_a_edit_alignment,annotator_b_edit_alignment,final_edit_alignment,annotator_a_edit_validity,annotator_b_edit_validity,final_edit_validity,annotator_a_rule_correctness,annotator_b_rule_correctness,final_rule_correctness,annotator_a_evidence,annotator_b_evidence,final_evidence,annotator_a_faithfulness,annotator_b_faithfulness,final_faithfulness,A_notes,B_notes,adjudication_notes,gold_source,gold_status
r10-faith-00260,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,correct_correction,U:PREP,explicit_template,We should use of public transport because at the present there are a lot of cars in the world that pollute and unfortunately we are harming the environment and the world .,"We should use public transport because, at the present, there are a lot of cars in the world that pollute and, unfortunately, we are harming the environment and the world.","delete ""of""","This edit should delete ""of"" at source span [3,4) for U:PREP.",EXPECT::expect-test-00002::coedit_large::00026::3-4::delete::explicit_template,EXPECT::expect-test-00002::coedit_large::00026::3-4::delete,faithful_positive,,correct,correct,correct,valid,valid,valid,correct,not_applicable,correct,not_provided,not_provided,not_provided,partially_faithful,partially_faithful,partially_faithful,,,Explanation identifies the edit and unnecessary preposition category but gives no contextual evidence such as the verb-object relation.,adjudicated_disagreement,adjudicated
r10-faith-00873,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,correct_correction,U:DET,gee_style_automatic,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,Computers have had a most significant impact on people in the latter half of the 20th century.,"delete ""the""","The phrase near span [8,9) violates U:DET; use an article or determiner licensed by the noun phrase.",EXPECT::expect-test-00013::coedit_large::00087::8-9::delete::gee_style_automatic,EXPECT::expect-test-00013::coedit_large::00087::8-9::delete,faithful_candidate,,partially_correct,incorrect,partially_correct,valid,stylistic,valid,partially_correct,incorrect,partially_correct,partially_correct,incorrect,not_provided,partially_faithful,unfaithful,partially_faithful,"Identifies a determiner issue near the edit but does not explicitly say to delete ""the"" or cite generic plural ""people"".","Explanation refers to wrong span and misstates the edit; deleting ""the"" before ""people"" is stylistic, not a determiner error.",Identifies the determiner span but does not explicitly state deletion or cite the plural/generic noun evidence.,adjudicated_disagreement,adjudicated
r10-faith-01009,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,correct_correction,U:DET,generic,Technology will have advanced and maybe the cars will fly above streets and computers will have totally changed .,"Technology will have advanced, and maybe cars will fly above the streets, and computers will have totally changed.","delete ""the""",The sentence has a grammar issue and should be improved.,EXPECT::expect-test-00015::coedit_large::00100::6-7::delete::generic,EXPECT::expect-test-00015::coedit_large::00100::6-7::delete,negative,generic,incorrect,incorrect,incorrect,valid,invalid,valid,not_applicable,not_applicable,not_applicable,not_provided,not_provided,not_provided,unfaithful,unfaithful,unfaithful,,"The model actually adds ""the"" before ""streets"" and commas, not deletes ""the""; generic explanation.",Generic explanation does not identify the article deletion.,adjudicated_disagreement,adjudicated
r10-faith-00011,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:PREP,masked_target_template,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.","replace ""at"" with ""in""","This edit should replace ""at"" with ""[MASK]"" at source span [8,9) for R:PREP.",EXPECT::expect-test-00000::coedit_large::00001::8-9::replace::masked_target_template,EXPECT::expect-test-00000::coedit_large::00001::8-9::replace,faithful_positive_masked,,partially_correct,partially_correct,partially_correct,valid,valid,valid,not_applicable,not_applicable,not_applicable,not_provided,not_provided,not_provided,partially_faithful,partially_faithful,partially_faithful,Target word is masked.,Target is masked; explanation gives no explicit rule or evidence beyond edit location.,,double_annotator_agreement,accepted_by_agreement_not_blind_audited
r10-faith-00944,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:VERB,rule_grounded_automatic,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .","I love my family, especially my little sister. She is sixteen years old. I consider her my best friend because I usually tell her everything about my life.","replace ""has"" with ""is""","Use the verb form required by the subject and tense. In this sentence, the evidence is around ""has"".",EXPECT::expect-test-00014::coedit_large::00094::10-11::replace::rule_grounded_automatic,EXPECT::expect-test-00014::coedit_large::00094::10-11::replace,faithful_candidate,,partially_correct,correct,partially_correct,valid,valid,valid,incorrect,partially_correct,incorrect,incorrect,partially_correct,incorrect,unfaithful,partially_faithful,unfaithful,"The issue is the age expression requires be, not subject-tense agreement; evidence should be ""sixteen years old"".","The rule is vague and the evidence is underspecified, though the edit is correctly identified.","The edit is valid, but age expressions require be; subject and tense do not justify replacing agreeing has.",adjudicated_disagreement,adjudicated
r10-faith-00852,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:PREP,rule_only,The traffic can affect cars and buses at the same extent .,The traffic can affect cars and buses to the same extent.,"replace ""at"" with ""to""",Use the preposition required by the surrounding phrase. The explanation intentionally omits the target edit.,EXPECT::expect-test-00012::coedit_large::00085::7-8::replace::rule_only,EXPECT::expect-test-00012::coedit_large::00085::7-8::replace,partially_informative_positive,,partially_correct,partially_correct,partially_correct,valid,valid,valid,partially_correct,partially_correct,correct,not_provided,partially_correct,partially_correct,partially_faithful,partially_faithful,partially_faithful,Explanation identifies a preposition choice but omits the at-to target and specific phrase evidence.,Explanation identifies preposition choice but omits the specific target and collocation.,Explanation concerns the preposition edit but omits the exact source/target and only vaguely identifies the phrase evidence.,adjudicated_disagreement,adjudicated
r10-faith-00228,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:OTHER,swapped_across_sentence,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.","replace ""ed"" with ""and""","This edit should replace ""community ,"" with ""community,"" for R:ORTH.",EXPECT::expect-test-00001::coedit_large::00022::70-71::replace::swapped_across_sentence,EXPECT::expect-test-00001::coedit_large::00022::70-71::replace,negative,swapped_across_sentence,incorrect,incorrect,incorrect,valid,valid,valid,incorrect,incorrect,incorrect,incorrect,incorrect,incorrect,unfaithful,unfaithful,unfaithful,Explanation refers to an unrelated comma-spacing edit.,"Explanation refers to a different edit/span and does not match replacing ""ed"" with ""and"".",,double_annotator_agreement,accepted_by_agreement_not_blind_audited
r10-faith-00856,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:PREP,wrong_direction,The traffic can affect cars and buses at the same extent .,The traffic can affect cars and buses to the same extent.,"replace ""at"" with ""to""","The sentence should change from ""to"" back to ""at"".",EXPECT::expect-test-00012::coedit_large::00085::7-8::replace::wrong_direction,EXPECT::expect-test-00012::coedit_large::00085::7-8::replace,negative,wrong_direction,incorrect,incorrect,incorrect,valid,valid,valid,not_applicable,incorrect,not_applicable,not_provided,incorrect,not_provided,unfaithful,unfaithful,unfaithful,Explanation reverses the edit direction.,Explanation reverses source and target and gives the wrong direction.,Explanation reverses the model edit direction.,adjudicated_disagreement,adjudicated
r10-faith-00857,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:PREP,wrong_rule,The traffic can affect cars and buses at the same extent .,The traffic can affect cars and buses to the same extent.,"replace ""at"" with ""to""",Use a comma because every grammar error here is punctuation-related.,EXPECT::expect-test-00012::coedit_large::00085::7-8::replace::wrong_rule,EXPECT::expect-test-00012::coedit_large::00085::7-8::replace,negative,wrong_rule,incorrect,incorrect,incorrect,valid,valid,valid,incorrect,incorrect,incorrect,not_provided,incorrect,not_provided,unfaithful,unfaithful,unfaithful,"Explanation concerns punctuation/comma, not the preposition replacement.","Explanation refers to punctuation/comma use, not the preposition edit.","Explanation describes a punctuation/comma change, not the preposition replacement.",adjudicated_disagreement,adjudicated
r10-faith-01005,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,correct_correction,U:DET,wrong_target,Technology will have advanced and maybe the cars will fly above streets and computers will have totally changed .,"Technology will have advanced, and maybe cars will fly above the streets, and computers will have totally changed.","delete ""the""","This edit should delete ""the"".",EXPECT::expect-test-00015::coedit_large::00100::6-7::delete::wrong_target,EXPECT::expect-test-00015::coedit_large::00100::6-7::delete,negative,wrong_target,correct,incorrect,correct,valid,invalid,valid,not_applicable,not_applicable,not_applicable,not_provided,not_provided,not_provided,partially_faithful,unfaithful,partially_faithful,,"The model actually inserted ""the"" before ""streets"" and removed it before ""cars""; the described deletion does not match this atomic edit.",Explanation identifies or references the edit but gives no rule or contextual evidence.,adjudicated_disagreement,adjudicated
r10-faith-00900,edit_explanation_faithfulness,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:ORTH,explicit_template,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .","I love my family, especially my little sister. She is sixteen years old. I consider her my best friend because I usually tell her everything about my life.","replace ""i"" with ""I""","This edit should replace ""i"" with ""I"" at source span [0,1) for R:ORTH.",EXPECT::expect-test-00014::coedit_large::00090::0-1::replace::explicit_template,EXPECT::expect-test-00014::coedit_large::00090::0-1::replace,faithful_positive,,correct,correct,correct,valid,valid,valid,not_applicable,not_applicable,not_applicable,not_provided,not_provided,not_provided,partially_faithful,partially_faithful,partially_faithful,,,,double_annotator_agreement,accepted_by_agreement_not_blind_audited
