method,explanation_type,n,accuracy,macro_f1,positive_f1,negative_f1
random,explicit_template,700,0.5014285714285714,0.33396764985727884,0.6679352997145577,0.0
random,masked_target_template,700,0.4614285714285714,0.31573802541544477,0.6314760508308895,0.0
random,rule_only,700,0.4857142857142857,0.3269230769230769,0.6538461538461539,0.0
random,gee_style_automatic,700,0.5114285714285715,0.3383742911153119,0.6767485822306238,0.0
random,rule_grounded_automatic,700,0.49857142857142855,0.33269780743565297,0.6653956148713059,0.0
random,wrong_span,700,0.5042857142857143,0.3352326685660019,0.0,0.6704653371320038
random,wrong_source_token,700,0.5157142857142857,0.3402450518378888,0.0,0.6804901036757776
random,wrong_target,700,0.5128571428571429,0.33899905571293676,0.0,0.6779981114258735
random,wrong_operation,700,0.47714285714285715,0.3230174081237911,0.0,0.6460348162475822
random,wrong_direction,700,0.4928571428571429,0.33014354066985646,0.0,0.6602870813397129
random,wrong_error_type,700,0.5057142857142857,0.3358633776091081,0.0,0.6717267552182162
random,wrong_rule,700,0.5042857142857143,0.3352326685660019,0.0,0.6704653371320038
random,wrong_evidence,700,0.5242857142857142,0.3439550140581068,0.0,0.6879100281162136
random,swapped_across_sentence,700,0.5057142857142857,0.3358633776091081,0.0,0.6717267552182162
random,generic,700,0.52,0.34210526315789475,0.0,0.6842105263157895
random,partially_correct,700,0.5485714285714286,0.3542435424354244,0.0,0.7084870848708488
random,faithful_wrong_model_edit,564,0.49113475177304966,0.32936979785969084,0.6587395957193817,0.0
majority_train,explicit_template,700,0.0,0.0,0.0,0.0
majority_train,masked_target_template,700,0.0,0.0,0.0,0.0
majority_train,rule_only,700,0.0,0.0,0.0,0.0
majority_train,gee_style_automatic,700,0.0,0.0,0.0,0.0
majority_train,rule_grounded_automatic,700,0.0,0.0,0.0,0.0
majority_train,wrong_span,700,1.0,0.5,0.0,1.0
majority_train,wrong_source_token,700,1.0,0.5,0.0,1.0
majority_train,wrong_target,700,1.0,0.5,0.0,1.0
majority_train,wrong_operation,700,1.0,0.5,0.0,1.0
majority_train,wrong_direction,700,1.0,0.5,0.0,1.0
majority_train,wrong_error_type,700,1.0,0.5,0.0,1.0
majority_train,wrong_rule,700,1.0,0.5,0.0,1.0
majority_train,wrong_evidence,700,1.0,0.5,0.0,1.0
majority_train,swapped_across_sentence,700,1.0,0.5,0.0,1.0
majority_train,generic,700,1.0,0.5,0.0,1.0
majority_train,partially_correct,700,1.0,0.5,0.0,1.0
majority_train,faithful_wrong_model_edit,564,0.0,0.0,0.0,0.0
no_explanation_majority,explicit_template,700,0.0,0.0,0.0,0.0
no_explanation_majority,masked_target_template,700,0.0,0.0,0.0,0.0
no_explanation_majority,rule_only,700,0.0,0.0,0.0,0.0
no_explanation_majority,gee_style_automatic,700,0.0,0.0,0.0,0.0
no_explanation_majority,rule_grounded_automatic,700,0.0,0.0,0.0,0.0
no_explanation_majority,wrong_span,700,1.0,0.5,0.0,1.0
no_explanation_majority,wrong_source_token,700,1.0,0.5,0.0,1.0
no_explanation_majority,wrong_target,700,1.0,0.5,0.0,1.0
no_explanation_majority,wrong_operation,700,1.0,0.5,0.0,1.0
no_explanation_majority,wrong_direction,700,1.0,0.5,0.0,1.0
no_explanation_majority,wrong_error_type,700,1.0,0.5,0.0,1.0
no_explanation_majority,wrong_rule,700,1.0,0.5,0.0,1.0
no_explanation_majority,wrong_evidence,700,1.0,0.5,0.0,1.0
no_explanation_majority,swapped_across_sentence,700,1.0,0.5,0.0,1.0
no_explanation_majority,generic,700,1.0,0.5,0.0,1.0
no_explanation_majority,partially_correct,700,1.0,0.5,0.0,1.0
no_explanation_majority,faithful_wrong_model_edit,564,0.0,0.0,0.0,0.0
current_edit_only,explicit_template,700,1.0,0.5,1.0,0.0
current_edit_only,masked_target_template,700,1.0,0.5,1.0,0.0
current_edit_only,rule_only,700,1.0,0.5,1.0,0.0
current_edit_only,gee_style_automatic,700,1.0,0.5,1.0,0.0
current_edit_only,rule_grounded_automatic,700,1.0,0.5,1.0,0.0
current_edit_only,wrong_span,700,0.0,0.0,0.0,0.0
current_edit_only,wrong_source_token,700,0.0,0.0,0.0,0.0
current_edit_only,wrong_target,700,0.0,0.0,0.0,0.0
current_edit_only,wrong_operation,700,0.0,0.0,0.0,0.0
current_edit_only,wrong_direction,700,0.0,0.0,0.0,0.0
current_edit_only,wrong_error_type,700,0.0,0.0,0.0,0.0
current_edit_only,wrong_rule,700,0.0,0.0,0.0,0.0
current_edit_only,wrong_evidence,700,0.0,0.0,0.0,0.0
current_edit_only,swapped_across_sentence,700,0.0,0.0,0.0,0.0
current_edit_only,generic,700,0.0,0.0,0.0,0.0
current_edit_only,partially_correct,700,0.0,0.0,0.0,0.0
current_edit_only,faithful_wrong_model_edit,564,1.0,0.5,1.0,0.0
surface_keyword,explicit_template,700,1.0,0.5,1.0,0.0
surface_keyword,masked_target_template,700,0.16428571428571428,0.1411042944785276,0.2822085889570552,0.0
surface_keyword,rule_only,700,0.0,0.0,0.0,0.0
surface_keyword,gee_style_automatic,700,0.0,0.0,0.0,0.0
surface_keyword,rule_grounded_automatic,700,0.0,0.0,0.0,0.0
surface_keyword,wrong_span,700,1.0,0.5,0.0,1.0
