annotation_item_id,edit_group_id,candidate_id_blind,dataset,sample_id,model_key,model_family,error_type,error_category,source,model_prediction,model_edit,edit_description,edit_validity_claim,rule_text,evidence_spans_json,rationale,confidence,edit_alignment_label,edit_validity_label,rule_correctness_label,evidence_label,overall_faithfulness_label,learner_helpfulness_label,fluency_label,preference_label,notes
rf-nat-0001,rf-natural-0006,candidate-0001,EXPECT,expect-test-00061,gector_roberta_base,sequence-to-edit,M:DET,lexical_choice,Variety of buses are provided by the government in order to meet people 's financial means .,A variety of buses are provided by the government in order to meet people 's financial means .,"replace [0, 1) 'Variety' -> 'A variety'",Replace 'Variety' with 'A variety',stylistic,Use of definite or indefinite articles for noun phrases,"[{""end"": 1, ""role"": ""source"", ""start"": 0, ""text"": ""Variety""}, {""end"": 1, ""role"": ""target"", ""start"": 0, ""text"": ""A variety""}]","The edit adds the indefinite article 'a' before 'variety', which is stylistically preferred when referring to a general category rather than a specific instance. While the original sentence is grammatically correct without the article, adding 'a' makes the sentence more natural and idiomatic in standard English usage.",0.95,,,,,,,,,
rf-nat-0011,rf-natural-0023,candidate-0011,EXPECT,expect-test-00008,coedit_large,instruction-following text editor,R:NOUN,lexical_choice,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without","replace [63, 64) 'sauce' -> 'sauce.'",Replace 'sauce' with 'sauce.',stylistic,A period should be used to end a sentence.,"[{""end"": 64, ""role"": ""token"", ""source"": ""kept_existing"", ""start"": 63, ""text"": ""sauce""}, {""end"": 64, ""role"": ""modified_token"", ""source"": ""structured_heuristic"", ""start"": 63, ""text"": ""sauce""}, {""end"": 63, ""role"": ""noun_number_context"", ""source"": ""structured_heuristic"", ""start"": 62, ""text"": ""chocolate""}, {""end"": 65, ""role"": ""noun_phrase_context"", ""source"": ""structured_heuristic"", ""start"": 64, ""text"": ""I""}]","The word 'sauce' appears at the end of a sentence, but it lacks a period, making it appear as if the sentence is incomplete. Adding a period would properly conclude the sentence.",0.95,,,,,,,,,
rf-nat-0003,rf-natural-0001,candidate-0003,JFLEG,jfleg-dev-0022,gector_roberta_base,sequence-to-edit,U:DET,articles_determiners,Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas . ,Students can focus on only a few subjects they are interested in and they will become experts in those areas .,"delete [16, 17) 'an' -> ''",Delete the article 'an' before 'experts',stylistic,Articles like 'a' or 'an' may be omitted when the noun is clearly defined or when the context makes the number clear.,"[{""end"": 21, ""role"": ""original"", ""source"": ""kept_existing"", ""start"": 12, ""text"": ""and they will become an experts in those areas""}, {""end"": 18, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 17, ""text"": ""experts""}]",The article 'an' is unnecessary before the plural noun 'experts' because the subject 'students' implies multiple individuals who can become experts. Removing 'an' improves clarity and grammatical correctness in this context.,0.95,,,,,,,,,
rf-nat-0022,rf-natural-0010,candidate-0022,EXPECT,expect-test-00013,t5_base_grammar,sequence-to-sequence,R:PREP,prepositions,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,Using the Internet for the first time since the beginning of the 20th century.,"replace [7, 8) 'on' -> 'for'",Replace 'on' with 'for' in the phrase 'have had a most significant impact on the people',acceptable_alternative,"Use 'for' to indicate the purpose or reason of an action, while 'on' typically indicates a topic or subject.","[{""end"": 9, ""role"": ""target"", ""start"": 7, ""text"": ""on""}, {""end"": 9, ""role"": ""source"", ""start"": 7, ""text"": ""for""}]","The original sentence uses 'on' which implies a surface-level interaction, but the intended meaning is about the impact being directed towards the people. Replacing 'on' with 'for' better conveys that the impact was experienced by the people, aligning with the intended meaning.",0.85,,,,,,,,,
rf-nat-0023,rf-natural-0003,candidate-0023,EXPECT,expect-test-00040,gector_roberta_base,sequence-to-edit,U:DET,articles_determiners,"I think about transport that the government should help the public transport , for example buses , train , the metro and more , for a single reason : the quality of life against the pollution .","I think about transport that the government should help public transport , for example buses , trains , the metro and more , for a single reason : the quality of life against pollution .","delete [34, 35) 'the' -> ''",Delete the article 'the' before 'pollution'.,stylistic,Articles like 'the' may be omitted when they are redundant or when the noun phrase is clearly understood without them.,"[{""end"": 36, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 35, ""text"": ""pollution""}]","The article 'the' before 'pollution' is stylistically unnecessary because it is already clear from context that the comparison is between quality of life and pollution, without requiring a definite article. Removing 'the' makes the sentence more concise and natural.",0.9,,,,,,,,,
rf-nat-0046,rf-natural-0020,candidate-0046,EXPECT,expect-test-00013,coedit_large,instruction-following text editor,U:DET,articles_determiners,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,Computers have had a most significant impact on people in the latter half of the 20th century.,"delete [8, 9) 'the' -> ''",Delete the article 'the' before 'latter half of the 20th century'.,stylistic,Articles like 'the' may be omitted when referring to general time periods or categories.,"[{""end"": 9, ""role"": ""deleted"", ""source"": ""kept_existing"", ""start"": 8, ""text"": ""the""}, {""end"": 10, ""role"": ""head_noun"", ""source"": ""structured_heuristic"", ""start"": 9, ""text"": ""people""}]","The article 'the' is stylistically unnecessary before 'latter half of the 20th century' because it refers to a general time period rather than a specific instance. Removing 'the' makes the sentence more concise and natural in standard English usage. The cited source evidence is ""people"" as head noun.",0.8,,,,,,,,,
rf-nat-0039,rf-natural-0001,candidate-0039,JFLEG,jfleg-dev-0022,gector_roberta_base,sequence-to-edit,U:DET,articles_determiners,Students can focus on only a few subjects they are intwerested in and they will become an experts in those areas . ,Students can focus on only a few subjects they are interested in and they will become experts in those areas .,"delete [16, 17) 'an' -> ''",Delete the article 'an' before 'experts',stylistic,Articles like 'a' or 'an' may be omitted when the noun is clearly defined or when the context makes the number clear.,"[{""end"": 18, ""role"": ""original"", ""start"": 16, ""text"": ""and they will become an experts in those areas""}, {""end"": 18, ""role"": ""modified"", ""start"": 16, ""text"": ""and they will become experts in those areas""}]",The article 'an' is unnecessary before the plural noun 'experts' because the subject 'students' implies multiple individuals who can become experts. Removing 'an' improves clarity and grammatical correctness in this context.,0.95,,,,,,,,,
rf-nat-0010,rf-natural-0011,candidate-0010,EXPECT,expect-test-00009,t5_base_grammar,sequence-to-sequence,M:DET,articles_determiners,But such a high level of development of Egyptian civilization has a negative side as well as positive .,"There is a high level of development of Egyptian civilization, but there is a negative side as well as a positive side.","insert [17, 17) '' -> 'a'",Inserting 'a' before 'positive' to complete the phrase 'as well as a positive side',stylistic,Articles should be used to specify definiteness or indefiniteness in nouns.,"[{""end"": 34, ""role"": ""affected"", ""start"": 23, ""text"": ""as well as positive""}]","The original sentence lacks an article before 'positive', making it grammatically incomplete. Inserting 'a' before 'positive' provides the necessary article to make the sentence grammatically correct and stylistically appropriate.",0.95,,,,,,,,,
rf-nat-0032,rf-natural-0004,candidate-0032,EXPECT,expect-test-00028,gector_roberta_base,sequence-to-edit,M:NOUN:POSS,lexical_choice,A worldwide war is the only case in which we would see a dramatic change in peoples lives in the time length of 50 years from now .,A worldwide war is the only case in which we will see a dramatic change in peoples ' lives in 50 years from now .,"insert [17, 17) '' -> '''",Insert an apostrophe after 'peoples' to form the possessive form 'peoples' correctly.,stylistic,Use an apostrophe to indicate possession in plural nouns.,"[{""end"": 23, ""role"": ""target"", ""start"": 17, ""text"": ""peoples""}]",The word 'peoples' is a plural noun and requires an apostrophe to indicate possession. The insertion of the apostrophe is a stylistic choice to ensure grammatical correctness in the possessive form.,0.95,,,,,,,,,
rf-nat-0043,rf-natural-0013,candidate-0043,EXPECT,expect-test-00000,t5_base_grammar,sequence-to-sequence,R:PREP,prepositions,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.","replace [8, 9) 'at' -> 'in'",Replace 'at' with 'in' after 'interested',valid,"The preposition 'in' is used to indicate interest in something, whereas 'at' is typically used with specific locations or points.","[{""end"": 11, ""role"": ""error_span"", ""source"": ""kept_existing"", ""start"": 7, ""text"": ""interested at the environment""}, {""end"": 8, ""role"": ""preposition_governor"", ""source"": ""structured_heuristic"", ""start"": 7, ""text"": ""interested""}, {""end"": 11, ""role"": ""preposition_complement"", ""source"": ""structured_heuristic"", ""start"": 10, ""text"": ""environment""}]","The phrase 'interested in' is a standard collocation used to express interest in a subject, such as the environment. The preposition 'at' is not appropriate here because it typically refers to specific locations or points rather than abstract concepts like the environment.",0.95,,,,,,,,,
