candidate_id,bucket,audit_priority,candidate_type,dataset,model_key,behavior,operation,error_type,risk_count,risk_reasons
rf-edit-0026::qwen3_8b::natural,accepted,stratum:behavior=wrong_correction,natural,JFLEG,gector_roberta_base,wrong_correction,replace,R:DET,11,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0151::qwen3_8b::natural,accepted,risk,natural,EXPECT,t5_base_grammar,overcorrection,insert,M:OTHER,11,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0151::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,EXPECT,t5_base_grammar,overcorrection,insert,M:OTHER,11,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0021::qwen3_8b::natural,accepted,risk,natural,JFLEG,gector_roberta_base,wrong_correction,replace,R:OTHER,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0021::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,JFLEG,gector_roberta_base,wrong_correction,replace,R:OTHER,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0026::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,JFLEG,gector_roberta_base,wrong_correction,replace,R:DET,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0092::qwen3_8b::natural,accepted,risk,natural,EXPECT,gector_roberta_base,overcorrection,replace,R:PREP,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0092::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,EXPECT,gector_roberta_base,overcorrection,replace,R:PREP,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0170::qwen3_8b::natural,accepted,risk,natural,EXPECT,t5_base_grammar,wrong_correction,insert,M:DET,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0170::qwen3_8b::rule_grounded,accepted,risk,rule_grounded,EXPECT,t5_base_grammar,wrong_correction,insert,M:DET,10,evidence_span_index_mismatch;evidence_not_all_source_index_matched;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
