counterfactual_model_prediction,counterfactual_source,counterfactual_validity_label,dataset,error_type,evidence_label,explanation,explanation_type,faithfulness_label,item_id,model_behavior,model_edit,model_family,model_key,model_prediction,notes,original_model_prediction,original_source,question,rule_correctness_label,simulated_behavior_label,source,task_type,variant_family,variant_strategy
,,,EXPECT,U:PREP,,"This edit should delete ""of"" at source span [3,4) for U:PREP.",explicit_template,,r10-faith-00260,correct_correction,"delete ""of""",instruction-following text editor,coedit_large,"We should use public transport because, at the present, there are a lot of cars in the world that pollute and, unfortunately, we are harming the environment and the world.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,We should use of public transport because at the present there are a lot of cars in the world that pollute and unfortunately we are harming the environment and the world .,edit_explanation_faithfulness,,
,,,EXPECT,U:DET,,"The phrase near span [8,9) violates U:DET; use an article or determiner licensed by the noun phrase.",gee_style_automatic,,r10-faith-00873,correct_correction,"delete ""the""",instruction-following text editor,coedit_large,Computers have had a most significant impact on people in the latter half of the 20th century.,,,,Does the explanation faithfully describe why the model made this specific edit?,,,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,edit_explanation_faithfulness,,
,,,EXPECT,U:DET,,The sentence has a grammar issue and should be improved.,generic,,r10-faith-01009,correct_correction,"delete ""the""",instruction-following text editor,coedit_large,"Technology will have advanced, and maybe cars will fly above the streets, and computers will have totally changed.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,Technology will have advanced and maybe the cars will fly above streets and computers will have totally changed .,edit_explanation_faithfulness,,
,,,EXPECT,R:PREP,,"This edit should replace ""at"" with ""[MASK]"" at source span [8,9) for R:PREP.",masked_target_template,,r10-faith-00011,correct_correction,"replace ""at"" with ""in""",instruction-following text editor,coedit_large,"In my community, we are very interested in the environment and ecological things.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"In my community , we are very interested at the environment and ecological things .",edit_explanation_faithfulness,,
,,,EXPECT,R:VERB,,"Use the verb form required by the subject and tense. In this sentence, the evidence is around ""has"".",rule_grounded_automatic,,r10-faith-00944,correct_correction,"replace ""has"" with ""is""",instruction-following text editor,coedit_large,"I love my family, especially my little sister. She is sixteen years old. I consider her my best friend because I usually tell her everything about my life.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .",edit_explanation_faithfulness,,
,,,EXPECT,R:PREP,,Use the preposition required by the surrounding phrase. The explanation intentionally omits the target edit.,rule_only,,r10-faith-00852,correct_correction,"replace ""at"" with ""to""",instruction-following text editor,coedit_large,The traffic can affect cars and buses to the same extent.,,,,Does the explanation faithfully describe why the model made this specific edit?,,,The traffic can affect cars and buses at the same extent .,edit_explanation_faithfulness,,
,,,EXPECT,R:OTHER,,"This edit should replace ""community ,"" with ""community,"" for R:ORTH.",swapped_across_sentence,,r10-faith-00228,correct_correction,"replace ""ed"" with ""and""",instruction-following text editor,coedit_large,"Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .",edit_explanation_faithfulness,,
,,,EXPECT,R:PREP,,"The sentence should change from ""to"" back to ""at"".",wrong_direction,,r10-faith-00856,correct_correction,"replace ""at"" with ""to""",instruction-following text editor,coedit_large,The traffic can affect cars and buses to the same extent.,,,,Does the explanation faithfully describe why the model made this specific edit?,,,The traffic can affect cars and buses at the same extent .,edit_explanation_faithfulness,,
,,,EXPECT,R:PREP,,Use a comma because every grammar error here is punctuation-related.,wrong_rule,,r10-faith-00857,correct_correction,"replace ""at"" with ""to""",instruction-following text editor,coedit_large,The traffic can affect cars and buses to the same extent.,,,,Does the explanation faithfully describe why the model made this specific edit?,,,The traffic can affect cars and buses at the same extent .,edit_explanation_faithfulness,,
,,,EXPECT,U:DET,,"This edit should delete ""the"".",wrong_target,,r10-faith-01005,correct_correction,"delete ""the""",instruction-following text editor,coedit_large,"Technology will have advanced, and maybe cars will fly above the streets, and computers will have totally changed.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,Technology will have advanced and maybe the cars will fly above streets and computers will have totally changed .,edit_explanation_faithfulness,,
,,,EXPECT,R:ORTH,,"This edit should replace ""i"" with ""I"" at source span [0,1) for R:ORTH.",explicit_template,,r10-faith-00900,overcorrection,"replace ""i"" with ""I""",instruction-following text editor,coedit_large,"I love my family, especially my little sister. She is sixteen years old. I consider her my best friend because I usually tell her everything about my life.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .",edit_explanation_faithfulness,,
,,,EXPECT,R:OTHER,,"The phrase near span [21,22) violates R:OTHER; apply the grammar rule indicated by the local context.",gee_style_automatic,,r10-faith-00293,overcorrection,"replace ""and"" with ""and,""",instruction-following text editor,coedit_large,"We should use public transport because, at the present, there are a lot of cars in the world that pollute and, unfortunately, we are harming the environment and the world.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,We should use of public transport because at the present there are a lot of cars in the world that pollute and unfortunately we are harming the environment and the world .,edit_explanation_faithfulness,,
,,,EXPECT,R:OTHER,,The sentence has a grammar issue and should be improved.,generic,,r10-faith-00429,overcorrection,"replace ""normally"" with ""normally,""",instruction-following text editor,coedit_large,"In conclusion, I think that this type of food and atmosphere is very good for us because normally, we speak about books, work, and studies, whereas with this type of environment, we can speak about ourselves, our family, our hobbies, and everyone will get to know something new about other classmates.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"In conclusion , I think that this type of food and atmosphere is very for us , because normally we speak about books , work and studies , whereas with this type of environment we can speak about ourselves , our family , our hobbies and everyone will get to know new something about other classmates .",edit_explanation_faithfulness,,
,,,EXPECT,R:OTHER,,"This edit should replace ""because"" with ""[MASK]"" at source span [6,7) for R:OTHER.",masked_target_template,,r10-faith-00271,overcorrection,"replace ""because"" with ""because,""",instruction-following text editor,coedit_large,"We should use public transport because, at the present, there are a lot of cars in the world that pollute and, unfortunately, we are harming the environment and the world.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,We should use of public transport because at the present there are a lot of cars in the world that pollute and unfortunately we are harming the environment and the world .,edit_explanation_faithfulness,,
,,,EXPECT,R:NOUN,,"Use the noun number or noun form required by the sentence. In this sentence, the evidence is around ""computer"".",rule_grounded_automatic,,r10-faith-00214,overcorrection,"replace ""computer"" with ""computer,""",instruction-following text editor,coedit_large,"Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .",edit_explanation_faithfulness,,
,,,EXPECT,R:ORTH,,"Correct spelling, casing, spacing, or another orthographic form. The explanation intentionally omits the target edit.",rule_only,,r10-faith-00512,overcorrection,"replace ""classmates ."" with ""classmates.""",instruction-following text editor,coedit_large,"In conclusion, I think that this type of food and atmosphere is very good for us because normally, we speak about books, work, and studies, whereas with this type of environment, we can speak about ourselves, our family, our hobbies, and everyone will get to know something new about other classmates.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"In conclusion , I think that this type of food and atmosphere is very for us , because normally we speak about books , work and studies , whereas with this type of environment we can speak about ourselves , our family , our hobbies and everyone will get to know new something about other classmates .",edit_explanation_faithfulness,,
,,,EXPECT,U:PUNCT,,"This edit should replace ""community ,"" with ""community,"" for R:ORTH.",swapped_across_sentence,,r10-faith-00968,overcorrection,"replace "", i"" with ""I""",instruction-following text editor,coedit_large,"I love my family, especially my little sister. She is sixteen years old. I consider her my best friend because I usually tell her everything about my life.",,,,Does the explanation faithfully describe why the model made this specific edit?,,,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .",edit_explanation_faithfulness,,
