candidate_id,dataset,sample_id,model_key,source,model_prediction,operation,edit_start,edit_end,source_text,target_text,edit_description,edit_validity,rule_text,evidence_spans_json,rationale,confidence,human_alignment_error,human_validity_error,human_wrong_rule,human_inapplicable_rule,human_missing_evidence,human_wrong_evidence,human_generic_explanation,human_edit_copy,human_semantic_distortion,human_unsupported_confidence,human_notes,human_decision
rf-edit-0026::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0012,gector_roberta_base,"It is true that consumers preffer to buy a product that has a lower price , but when international companies that has already the certification begins to send its market , people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much .","It is true that consumers prefer to buy a product that has a lower price , but when international companies that have already the certification begin to send their market , people will prefer to consume theirs because the difference between prices is probably not going to affect them too much .",replace,28,29,its,their,Replace 'its' with 'their' to correctly refer to the plural subject 'international companies'.,valid,Pronouns must agree with their antecedents in number (singular/plural) and gender (if applicable).,"[{""end"": 29, ""role"": ""pronoun"", ""start"": 28, ""text"": ""its""}]",The pronoun 'its' is singular and does not match the plural antecedent 'international companies'. Replacing 'its' with 'their' ensures grammatical agreement between the subject and the possessive pronoun.,1.0,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0021::qwen3_8b::natural::evidence_canonicalized,JFLEG,jfleg-dev-0018,gector_roberta_base,"I was very fast , my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country .","I was very fast . My best time was 5 5 5 seconds in 4 0 0 hundred meters , which is a good time in the country .",replace,23,24,or,the,Replace 'or' with 'the' to correct the definite article usage.,valid,Use 'the' before a noun when referring to a specific or previously mentioned entity.,"[{""end"": 25, ""role"": ""error"", ""start"": 23, ""text"": ""or country""}]","The phrase 'in or country' is grammatically incorrect because 'or' is a conjunction, not an article. The correct article to use before 'country' is 'the', as it refers to a specific country (likely the speaker's own country) in the context.",0.95,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0021::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0018,gector_roberta_base,"I was very fast , my best time was 5 5 seconds in 4 0 0 hundred meters is a good time in or country .","I was very fast . My best time was 5 5 5 seconds in 4 0 0 hundred meters , which is a good time in the country .",replace,23,24,or,the,Replace 'or' with 'the' to correct the definite article usage.,valid,Use 'the' before a noun when referring to a specific or previously mentioned entity.,"[{""end"": 25, ""role"": ""error_span"", ""start"": 22, ""text"": ""in or country""}]",The word 'or' is incorrect in this context because it is not a determiner. The correct definite article 'the' should be used before 'country' to indicate a specific reference.,1.0,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0026::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0012,gector_roberta_base,"It is true that consumers preffer to buy a product that has a lower price , but when international companies that has already the certification begins to send its market , people will preffer to consume theirs because the difference between prices is probbably not going to affect them to much .","It is true that consumers prefer to buy a product that has a lower price , but when international companies that have already the certification begin to send their market , people will prefer to consume theirs because the difference between prices is probably not going to affect them too much .",replace,28,29,its,their,Replace 'its' with 'their' to correctly refer to the plural subject 'international companies'.,valid,Pronouns must agree with their antecedents in number (singular/plural) and gender (if applicable).,"[{""end"": 20, ""role"": ""antecedent"", ""start"": 18, ""text"": ""international companies""}, {""end"": 29, ""role"": ""pronoun"", ""start"": 28, ""text"": ""its""}]","The pronoun 'its' is singular and does not agree with the plural antecedent 'international companies'. The correct pronoun to use in this context is 'their', which agrees in number with the plural subject.",1.0,no,yes,yes,yes,no,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, edit_copy, semantic_distortion, ...",reject
rf-edit-0033::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00040,gector_roberta_base,"I think about transport that the government should help the public transport , for example buses , train , the metro and more , for a single reason : the quality of life against the pollution .","I think about transport that the government should help public transport , for example buses , trains , the metro and more , for a single reason : the quality of life against pollution .",delete,34,35,the,,Delete the article 'the' before 'pollution'.,stylistic,Articles like 'the' may be omitted when they are redundant or when the noun phrase is clearly understood without them.,[],"The article 'the' before 'pollution' is stylistically unnecessary because it is already clear from context that the comparison is between quality of life and pollution, without requiring a definite article. Removing 'the' makes the sentence more concise and natural.",0.9,no,no,no,no,yes,no,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0092::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00008,gector_roberta_base,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant . Its name is "" Lemon "" . I go there every week . It has different food than other restaurants . I 'd like chicken crispy with garlic sauce . It 's an excellent choice for me and my favorite appitizer is susage and for dessert , I 'd like "" Vadge "" cake with chocolate sauce . I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .",replace,25,26,to,than,Replace 'to' with 'than' in the phrase 'different food to other restaurants',valid,Use 'than' to compare two things.,"[{""end"": 28, ""role"": ""error"", ""start"": 21, ""text"": ""it has different food to other restaurants""}]","The original sentence uses 'to' in the phrase 'different food to other restaurants', which is incorrect. The correct comparative conjunction to use in this context is 'than', making the sentence grammatically accurate by comparing the food at the restaurant to that of other restaurants.",0.95,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0092::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00008,gector_roberta_base,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant . Its name is "" Lemon "" . I go there every week . It has different food than other restaurants . I 'd like chicken crispy with garlic sauce . It 's an excellent choice for me and my favorite appitizer is susage and for dessert , I 'd like "" Vadge "" cake with chocolate sauce . I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .",replace,25,26,to,than,Replace 'to' with 'than' in the phrase 'different food to other restaurants',valid,"Use 'than' to compare two things, such as 'different from' or 'more than'.","[{""end"": 28, ""role"": ""error"", ""start"": 21, ""text"": ""it has different food to other restaurants""}]","The original sentence uses 'to' incorrectly in the phrase 'different food to other restaurants'. The correct comparative conjunction is 'than', which is used to compare two things. This edit corrects the grammatical structure by replacing 'to' with 'than'.",0.95,no,yes,yes,yes,yes,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, missing_evidence, edit_copy, ...",reject
rf-edit-0114::qwen3_8b::rule_grounded::evidence_canonicalized,JFLEG,jfleg-dev-0035,gector_roberta_base,"If every people thinks to learn and understand lots of scientifc subjects , any person will do not do it and as a result of this any science is n't imporeved .","If everybody thinks about learning and understanding lots of scientific subjects , people will not do it and , as a result of this , any science will n't improve .",replace,7,8,understand,understanding,Replace 'understand' with 'ing' form 'understanding',stylistic,Use noun forms in parallel structures for consistency and grammatical correctness.,"[{""end"": 8, ""role"": ""target"", ""start"": 7, ""text"": ""understand""}]","The verb 'understand' is replaced with its noun form 'understanding' to maintain parallelism with 'learning', which is already in the noun form. This creates a more consistent and grammatically balanced structure in the sentence.",0.9,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0151::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00036,t5_base_grammar,public transportation . day by day folk are more crazy about own vehicles which leads dark future for public transportation,"Public transportation. Day by day people are more crazy about own vehicles, which leads to a dark future for public transportation.",insert,15,15,,to a,Inserting 'to a' after 'leads' to complete the prepositional phrase,valid,A preposition such as 'lead to' requires a complement (noun phrase) to complete its meaning.,"[{""end"": 17, ""role"": ""affected_span"", ""start"": 14, ""text"": ""leads dark future""}]","The original sentence contains an incomplete prepositional phrase 'leads dark future'. The verb 'lead' in this context requires the preposition 'to' followed by a noun phrase. Inserting 'to a' completes the phrase correctly as 'leads to a dark future', making the sentence grammatically accurate.",0.95,no,yes,yes,yes,no,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, edit_copy, semantic_distortion, ...",reject
rf-edit-0151::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00036,t5_base_grammar,public transportation . day by day folk are more crazy about own vehicles which leads dark future for public transportation,"Public transportation. Day by day people are more crazy about own vehicles, which leads to a dark future for public transportation.",insert,15,15,,to a,Inserting 'to a' after 'leads' to complete the prepositional phrase,valid,A preposition such as 'lead to' requires a complement (noun phrase) to complete its meaning.,"[{""end"": 17, ""role"": ""affected_span"", ""start"": 14, ""text"": ""leads dark future""}]","The original sentence contains an incomplete prepositional phrase 'leads dark future'. The verb 'lead' in this context requires the preposition 'to' followed by a noun phrase. Inserting 'to a' completes the phrase correctly as 'leads to a dark future', making the sentence grammatically accurate.",0.95,no,yes,yes,yes,no,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, edit_copy, semantic_distortion, ...",reject
rf-edit-0170::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00005,t5_base_grammar,They were planning to steal a very precious thing from Museum tonight .,"Then, they were planning to steal a very precious thing from the museum tonight.",insert,10,10,,the,Inserting 'the' before 'museum' to specify which museum is being referred to.,valid,"Definite articles ('the') should be used when referring to specific, known entities.","[{""end"": 11, ""role"": ""noun"", ""start"": 10, ""text"": ""Museum""}]","The noun 'Museum' in the original sentence is used without an article, which makes it unclear whether it refers to a specific museum or a general concept. Adding 'the' clarifies that the sentence is referring to a particular museum, making the sentence more precise and grammatically correct.",0.95,no,yes,yes,yes,no,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, edit_copy, semantic_distortion, ...",reject
rf-edit-0170::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00005,t5_base_grammar,They were planning to steal a very precious thing from Museum tonight .,"Then, they were planning to steal a very precious thing from the museum tonight.",insert,10,10,,the,Inserting 'the' before 'museum' to specify which museum is being referred to.,valid,"Definite articles ('the') should be used when referring to specific, known entities.","[{""end"": 11, ""role"": ""noun"", ""start"": 10, ""text"": ""Museum""}]","The noun 'Museum' in the original sentence is used without an article, which makes it unclear which specific museum is being referenced. Adding 'the' clarifies that the sentence is referring to a particular, known museum.",0.95,no,yes,yes,yes,no,no,no,yes,yes,yes,"Codex prelabel from automatic diagnostics: validity_error, wrong_rule, inapplicable_rule, edit_copy, semantic_distortion, ...",reject
rf-edit-0248::qwen3_8b::natural::evidence_canonicalized,EXPECT,expect-test-00008,coedit_large,"I 'd like to tell you about my favorite restaurant its name is "" Lemon "" I go there every week it has different food to other restaurants I 'd like chicken crispy with garlic sauce It 's an Excellent choice for me and My favorite appitizer is susage and in order that dessert I 'd like "" Vadge "" cake with chocolate sauce I feel at ease when I go there I enjoy classical music while having lunch about the service It 's very good and all the staff are respectable I ca n't imagine one week without going there that would drive me nuts I advise everyone to go there and enjoy their time there , also this restaurant has a relative advantage in hygiene really It 's excellent The striking thing for anyone despite all of these advantages the prices are not expensive .","I 'd like to tell you about my favorite restaurant. It 's called "" Lemon "". I go there every week. It has different food than other restaurants. I 'd like chicken crispy with garlic sauce. It 's an excellent choice for me, and my favorite appitizer is sausage, and in order for dessert, I 'd like "" Vadge "" cake with chocolate sauce. I feel at ease when I go there. I enjoy classical music while having lunch, and the service is very good and all the staff are respectable. I can n't imagine one week without",replace,10,12,its name,It,Replace 'its name' with 'It',stylistic,Use a pronoun reference that clearly refers to the previously mentioned noun.,"[{""end"": 16, ""role"": ""original"", ""start"": 10, ""text"": ""its name is \"" Lemon \""""}, {""end"": 16, ""role"": ""modified"", ""start"": 10, ""text"": ""its name is \"" Lemon \""""}]","Replacing 'its name' with 'It' improves clarity by directly referring to the restaurant, which was previously introduced. This avoids ambiguity and makes the sentence more concise and natural.",0.95,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
rf-edit-0163::qwen3_8b::rule_grounded::evidence_canonicalized,EXPECT,expect-test-00013,t5_base_grammar,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,Using the Internet for the first time since the beginning of the 20th century.,replace,7,8,on,for,Replace 'on' with 'for' in the phrase 'have had a most significant impact on the people',acceptable_alternative,"Use 'for' to indicate the purpose or reason of an action, while 'on' is used for topics or subjects.","[{""end"": 10, ""role"": ""original"", ""start"": 1, ""text"": ""have had a most significant impact on the people""}, {""end"": 13, ""role"": ""modified"", ""start"": 7, ""text"": ""on the people in the latter""}]","The original sentence uses 'on' which typically indicates a topic or subject, but the intended meaning seems to be about the purpose or reason of the impact. Replacing 'on' with 'for' better conveys that the impact was directed towards the people for a specific purpose, making the sentence more semantically accurate.",0.85,no,no,no,no,yes,yes,no,yes,no,yes,"Codex prelabel from automatic diagnostics: missing_evidence, wrong_evidence, edit_copy, unsupported_confidence.",refine
