candidate_id,field_aware_bucket,target_masked_bucket,target_masked_label,target_masked_score,failures,warnings,dataset,model_key,operation,error_type,error_category,target_text,target_in_quality_fields,masked_rule_has_grammar_signal,specific_source_evidence_count,specific_evidence_mentioned_after_mask,generic_after_target_mask,target_dependent,rule_category_issue,rule_text,rationale
rf-edit-0058::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,accepted,validated,pass,1.0,,,EXPECT,gector_roberta_base,replace,M:DET,lexical_choice,A variety,0,True,1,True,False,False,,Use of definite or indefinite articles for noun phrases,"The edit adds the indefinite article 'a' before 'variety', which is stylistically preferred when referring to a general category rather than a specific instance. While the original sentence is grammatically correct without the article, adding 'a' makes the sentence more natural and idiomatic in standard English usage. The cited source evidence is ""buses"" as head noun."
rf-edit-0058::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,accepted,validated,pass,1.0,,,EXPECT,gector_roberta_base,replace,M:DET,lexical_choice,A variety,0,True,1,True,False,False,,Use of definite or indefinite articles for noun phrases,"The original sentence begins with 'Variety', which is a non-count noun and does not require an article. Adding 'A' before 'variety' makes the noun phrase grammatically complete and more natural in standard English usage. The cited source evidence is ""buses"" as head noun."
rf-edit-0138::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,accepted,validated,pass,1.0,,,EXPECT,t5_base_grammar,replace,R:NOUN,lexical_choice,"civilization,",0,True,3,True,False,False,,A comma should be used after introductory phrases or clauses to separate them from the main clause.,"The addition of a comma after 'civilization' separates the introductory phrase from the main clause, improving clarity and adhering to standard punctuation rules. However, this edit is considered stylistic rather than grammatically necessary, as the sentence remains understandable without the comma. The cited source evidence is ""civilization"" as modified token; ""Egyptian"" as noun number context; ""has"" as noun phrase context."
rf-edit-0138::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,accepted,validated,pass,1.0,,,EXPECT,t5_base_grammar,replace,R:NOUN,lexical_choice,"civilization,",0,True,3,True,False,False,,A comma should be used after introductory elements to separate clauses.,"The edit adds a comma after 'civilization' to separate the introductory phrase from the main clause, which is a stylistic choice to improve readability and clarity. However, this comma is not strictly necessary for grammatical correctness, making the edit optional rather than mandatory. The cited source evidence is ""civilization"" as modified token; ""Egyptian"" as noun number context; ""has"" as noun phrase context."
rf-edit-0255::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,accepted,validated,pass,1.0,,,EXPECT,coedit_large,replace,R:NOUN,lexical_choice,sister.,0,True,3,True,False,False,,A period should follow a complete sentence.,"The word 'sister' at the end of the first sentence is followed by a comma, which indicates the sentence is not yet complete. Adding a period after 'sister' would properly terminate the sentence, making it grammatically correct and stylistically appropriate. The cited source evidence is ""sister"" as modified token; ""little"" as noun number context; ""she"" as noun phrase context."
rf-edit-0255::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,accepted,validated,pass,1.0,,,EXPECT,coedit_large,replace,R:NOUN,lexical_choice,sister.,0,True,3,True,False,False,,A period should follow a complete sentence.,"The word 'sister' at the end of the first sentence is followed by a comma, which is incorrect because the sentence is complete. Adding a period after 'sister' would properly terminate the sentence. The cited source evidence is ""sister"" as modified token; ""little"" as noun number context; ""she"" as noun phrase context."
rf-edit-0276::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,accepted,validated,pass,1.0,,,EXPECT,coedit_large,delete,U:DET,articles_determiners,,0,True,1,True,False,False,,Articles like 'the' may be omitted when the noun phrase is clearly defined or when the context makes the reference unambiguous.,"The article 'the' before 'latter half of the 20th century' is stylistically optional because the time period is clearly defined and widely understood in the context. Removing it results in a more concise and natural phrasing. The cited source evidence is ""people"" as head noun."
rf-edit-0276::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,accepted,validated,pass,1.0,,,EXPECT,coedit_large,delete,U:DET,articles_determiners,,0,True,1,True,False,False,,Articles like 'the' may be omitted when referring to general time periods or categories.,"The article 'the' is stylistically unnecessary before 'latter half of the 20th century' because it refers to a general time period rather than a specific instance. Removing 'the' makes the sentence more concise and natural in standard English usage. The cited source evidence is ""people"" as head noun."
rf-edit-0035::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,refine,validated,pass,1.0,,,EXPECT,gector_roberta_base,insert,M:NOUN:POSS,lexical_choice,',0,True,2,True,False,False,,Use an apostrophe to indicate possession in plural nouns.,"The cited source evidence is ""peoples"" as noun number context; ""lives"" as noun phrase context. This evidence supports the rule that Use an apostrophe to indicate possession in plural nouns."
rf-edit-0165::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,refine,validated,pass,1.0,,,EXPECT,t5_base_grammar,insert,M:DET,articles_determiners,a,0,True,1,True,False,False,,Articles should be used to specify definiteness or indefiniteness in nouns.,"The cited source evidence is ""positive"" as head noun. This evidence supports the rule that Articles should be used to specify definiteness or indefiniteness in nouns."
rf-edit-0165::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,refine,validated,pass,1.0,,,EXPECT,t5_base_grammar,insert,M:DET,articles_determiners,a,4,True,1,True,False,False,,"Use of indefinite articles ('a', 'an') before singular countable nouns.","The cited source evidence is ""positive"" as head noun. This evidence supports the rule that Use of indefinite articles ('a', 'an') before singular countable nouns."
rf-edit-0265::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,refine,validated,pass,1.0,,,EXPECT,coedit_large,delete,U:VERB,verb_form,,0,True,1,True,False,False,,"In the structure 'how different our lives are', the verb 'are' should be used instead of 'is' to maintain subject-verb agreement.","The cited source evidence is ""our"" as verb complement or time context. This evidence supports the rule that In the structure 'how different our lives are', the verb 'are' should be used instead of 'is' to maintain subject-verb agreement."
rf-edit-0267::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,refine,validated,pass,1.0,,,EXPECT,coedit_large,insert,M:DET,articles_determiners,a,3,True,1,True,False,False,,Use of articles (a/an) before singular countable nouns.,"The cited source evidence is ""positive"" as head noun. This evidence supports the rule that Use of articles (a/an) before singular countable nouns."
rf-edit-0277::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,refine,validated,pass,1.0,,,EXPECT,coedit_large,insert,M:DET,articles_determiners,the,7,True,2,True,False,False,,Nouns that refer to specific or general things should be preceded by articles like 'the' or 'a' when necessary.,"The cited source evidence is ""streets"" as noun; ""streets"" as head noun. This evidence supports the rule that Nouns that refer to specific or general things should be preceded by articles like 'the' or 'a' when necessary."
rf-edit-0277::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired::targeted_repaired,refine,validated,pass,1.0,,,EXPECT,coedit_large,insert,M:DET,articles_determiners,the,6,True,1,True,False,False,,Nouns that refer to specific or general things should be preceded by articles like 'the' or 'a'.,"The cited source evidence is ""streets"" as head noun. This evidence supports the rule that Nouns that refer to specific or general things should be preceded by articles like 'the' or 'a'."
