item_id,priority,disagreement_count,disagreement_dimensions,dataset,model_key,model_family,model_behavior,error_type,explanation_type,source,model_prediction,model_edit,explanation,A_edit_alignment,B_edit_alignment,A_edit_validity,B_edit_validity,A_rule_correctness,B_rule_correctness,A_evidence,B_evidence,A_faithfulness,B_faithfulness,A_notes,B_notes,final_edit_alignment,final_edit_validity,final_rule_correctness,final_evidence,final_faithfulness,adjudication_notes
r10-faith-00260,P2,1,rule_correctness_label,EXPECT,coedit_large,instruction-following text editor,correct_correction,U:PREP,explicit_template,We should use of public transport because at the present there are a lot of cars in the world that pollute and unfortunately we are harming the environment and the world .,"We should use public transport because, at the present, there are a lot of cars in the world that pollute and, unfortunately, we are harming the environment and the world.","delete ""of""","This edit should delete ""of"" at source span [3,4) for U:PREP.",correct,correct,valid,valid,correct,not_applicable,not_provided,not_provided,partially_faithful,partially_faithful,,,,,,,,
r10-faith-00873,P0,5,"edit_alignment_label, edit_validity_label, rule_correctness_label, evidence_label, faithfulness_label",EXPECT,coedit_large,instruction-following text editor,correct_correction,U:DET,gee_style_automatic,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,Computers have had a most significant impact on people in the latter half of the 20th century.,"delete ""the""","The phrase near span [8,9) violates U:DET; use an article or determiner licensed by the noun phrase.",partially_correct,incorrect,valid,stylistic,partially_correct,incorrect,partially_correct,incorrect,partially_faithful,unfaithful,"Identifies a determiner issue near the edit but does not explicitly say to delete ""the"" or cite generic plural ""people"".","Explanation refers to wrong span and misstates the edit; deleting ""the"" before ""people"" is stylistic, not a determiner error.",,,,,,
r10-faith-01009,P2,1,edit_validity_label,EXPECT,coedit_large,instruction-following text editor,correct_correction,U:DET,generic,Technology will have advanced and maybe the cars will fly above streets and computers will have totally changed .,"Technology will have advanced, and maybe cars will fly above the streets, and computers will have totally changed.","delete ""the""",The sentence has a grammar issue and should be improved.,incorrect,incorrect,valid,invalid,not_applicable,not_applicable,not_provided,not_provided,unfaithful,unfaithful,,"The model actually adds ""the"" before ""streets"" and commas, not deletes ""the""; generic explanation.",,,,,,
r10-faith-00011,AGREE,0,,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:PREP,masked_target_template,"In my community , we are very interested at the environment and ecological things .","In my community, we are very interested in the environment and ecological things.","replace ""at"" with ""in""","This edit should replace ""at"" with ""[MASK]"" at source span [8,9) for R:PREP.",partially_correct,partially_correct,valid,valid,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,partially_faithful,Target word is masked.,Target is masked; explanation gives no explicit rule or evidence beyond edit location.,,,,,,
r10-faith-00944,P0,4,"edit_alignment_label, rule_correctness_label, evidence_label, faithfulness_label",EXPECT,coedit_large,instruction-following text editor,correct_correction,R:VERB,rule_grounded_automatic,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .","I love my family, especially my little sister. She is sixteen years old. I consider her my best friend because I usually tell her everything about my life.","replace ""has"" with ""is""","Use the verb form required by the subject and tense. In this sentence, the evidence is around ""has"".",partially_correct,correct,valid,valid,incorrect,partially_correct,incorrect,partially_correct,unfaithful,partially_faithful,"The issue is the age expression requires be, not subject-tense agreement; evidence should be ""sixteen years old"".","The rule is vague and the evidence is underspecified, though the edit is correctly identified.",,,,,,
r10-faith-00852,P2,1,evidence_label,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:PREP,rule_only,The traffic can affect cars and buses at the same extent .,The traffic can affect cars and buses to the same extent.,"replace ""at"" with ""to""",Use the preposition required by the surrounding phrase. The explanation intentionally omits the target edit.,partially_correct,partially_correct,valid,valid,partially_correct,partially_correct,not_provided,partially_correct,partially_faithful,partially_faithful,Explanation identifies a preposition choice but omits the at-to target and specific phrase evidence.,Explanation identifies preposition choice but omits the specific target and collocation.,,,,,,
r10-faith-00228,AGREE,0,,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:OTHER,swapped_across_sentence,"Technology has chanched people 's lives a lot . In fact we can think how different is our life compared either to our parents ' or our grandparents ' lives . For example my parents did n't watch tv , because there was n't any tv in the world when they were young.but that is n't the only difference : we can think about the mobile phone , the computer ed finally the internet.our grandparents could n't have imagined a strange machine like the computer in their lives .","Technology has changed people's lives a lot. In fact, we can think how different our lives are compared to either our parents' or our grandparents' lives. For example, my parents didn't watch tv because there wasn't any TV in the world when they were young. But that isn't the only difference: we can think about the mobile phone, the computer, and finally the internet. Our grandparents couldn't have imagined a strange machine like the computer in their lives.","replace ""ed"" with ""and""","This edit should replace ""community ,"" with ""community,"" for R:ORTH.",incorrect,incorrect,valid,valid,incorrect,incorrect,incorrect,incorrect,unfaithful,unfaithful,Explanation refers to an unrelated comma-spacing edit.,"Explanation refers to a different edit/span and does not match replacing ""ed"" with ""and"".",,,,,,
r10-faith-00856,P2,2,"rule_correctness_label, evidence_label",EXPECT,coedit_large,instruction-following text editor,correct_correction,R:PREP,wrong_direction,The traffic can affect cars and buses at the same extent .,The traffic can affect cars and buses to the same extent.,"replace ""at"" with ""to""","The sentence should change from ""to"" back to ""at"".",incorrect,incorrect,valid,valid,not_applicable,incorrect,not_provided,incorrect,unfaithful,unfaithful,Explanation reverses the edit direction.,Explanation reverses source and target and gives the wrong direction.,,,,,,
r10-faith-00857,P2,1,evidence_label,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:PREP,wrong_rule,The traffic can affect cars and buses at the same extent .,The traffic can affect cars and buses to the same extent.,"replace ""at"" with ""to""",Use a comma because every grammar error here is punctuation-related.,incorrect,incorrect,valid,valid,incorrect,incorrect,not_provided,incorrect,unfaithful,unfaithful,"Explanation concerns punctuation/comma, not the preposition replacement.","Explanation refers to punctuation/comma use, not the preposition edit.",,,,,,
r10-faith-01005,P0,3,"edit_alignment_label, edit_validity_label, faithfulness_label",EXPECT,coedit_large,instruction-following text editor,correct_correction,U:DET,wrong_target,Technology will have advanced and maybe the cars will fly above streets and computers will have totally changed .,"Technology will have advanced, and maybe cars will fly above the streets, and computers will have totally changed.","delete ""the""","This edit should delete ""the"".",correct,incorrect,valid,invalid,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,unfaithful,,"The model actually inserted ""the"" before ""streets"" and removed it before ""cars""; the described deletion does not match this atomic edit.",,,,,,
r10-faith-00900,AGREE,0,,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:ORTH,explicit_template,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .","I love my family, especially my little sister. She is sixteen years old. I consider her my best friend because I usually tell her everything about my life.","replace ""i"" with ""I""","This edit should replace ""i"" with ""I"" at source span [0,1) for R:ORTH.",correct,correct,valid,valid,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,partially_faithful,,,,,,,,
r10-faith-00293,P0,2,"edit_alignment_label, faithfulness_label",EXPECT,coedit_large,instruction-following text editor,overcorrection,R:OTHER,gee_style_automatic,We should use of public transport because at the present there are a lot of cars in the world that pollute and unfortunately we are harming the environment and the world .,"We should use public transport because, at the present, there are a lot of cars in the world that pollute and, unfortunately, we are harming the environment and the world.","replace ""and"" with ""and,""","The phrase near span [21,22) violates R:OTHER; apply the grammar rule indicated by the local context.",partially_correct,incorrect,stylistic,stylistic,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,unfaithful,"Comma after ""and"" is optional punctuation around parenthetical ""unfortunately"".",Explanation is generic and does not identify the comma insertion after 'and'.,,,,,,
r10-faith-00429,AGREE,0,,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:OTHER,generic,"In conclusion , I think that this type of food and atmosphere is very for us , because normally we speak about books , work and studies , whereas with this type of environment we can speak about ourselves , our family , our hobbies and everyone will get to know new something about other classmates .","In conclusion, I think that this type of food and atmosphere is very good for us because normally, we speak about books, work, and studies, whereas with this type of environment, we can speak about ourselves, our family, our hobbies, and everyone will get to know something new about other classmates.","replace ""normally"" with ""normally,""",The sentence has a grammar issue and should be improved.,incorrect,incorrect,stylistic,stylistic,not_applicable,not_applicable,not_provided,not_provided,unfaithful,unfaithful,"Comma after ""normally"" is optional; explanation is generic.",Generic explanation does not describe the comma insertion; edit is punctuation/stylistic.,,,,,,
