candidate_id,bucket,hard_reasons,refine_reasons,dataset,model_key,operation,error_type,edit_description_edit_copy,rule_text_edit_copy,rationale_edit_copy,rule_text_target_copy,rationale_target_copy,specific_source_evidence
rf-edit-0009::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,gector_roberta_base,replace,R:VERB:SVA,True,False,False,False,True,True
rf-edit-0009::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,JFLEG,gector_roberta_base,replace,R:VERB:SVA,True,False,False,False,True,True
rf-edit-0016::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,JFLEG,gector_roberta_base,delete,U:DET,True,False,False,False,False,True
rf-edit-0016::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,JFLEG,gector_roberta_base,delete,U:DET,True,False,False,False,False,True
rf-edit-0021::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;no_specific_source_evidence,,JFLEG,gector_roberta_base,replace,R:OTHER,True,False,False,True,True,False
rf-edit-0021::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,validity_error_auto;no_specific_source_evidence,,JFLEG,gector_roberta_base,replace,R:OTHER,True,False,False,True,True,False
rf-edit-0023::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,accepted,,,JFLEG,gector_roberta_base,replace,R:WO,True,False,False,True,True,True
rf-edit-0023::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,accepted,,,JFLEG,gector_roberta_base,replace,R:WO,True,False,False,True,True,True
rf-edit-0024::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,rationale_edit_copy,JFLEG,gector_roberta_base,insert,M:PUNCT,False,False,True,False,True,False
rf-edit-0024::qwen3_8b::rule_grounded::evidence_canonicalized::structured_evidence_repaired,rejected,no_specific_source_evidence,rationale_edit_copy,JFLEG,gector_roberta_base,insert,M:PUNCT,False,False,True,False,True,False
rf-edit-0025::qwen3_8b::natural::evidence_canonicalized::structured_evidence_repaired,rejected,alignment_error,unsupported_confidence,EXPECT,gector_roberta_base,delete,U:DET,True,False,False,False,False,True
