candidate_id,before_evidence_contextual,after_evidence_contextual,before_missing_evidence,after_missing_evidence,before_wrong_evidence_auto,after_wrong_evidence_auto,before_prediction_only,after_prediction_only,before_risk_count,after_risk_count,actions
rf-edit-0009::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,4,4,"{""added_sva_subject"": 1, ""added_sva_verb"": 1, ""kept_existing_valid_source_spans"": 2}"
rf-edit-0009::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,4,4,"{""added_sva_subject"": 1, ""added_sva_verb"": 1, ""kept_existing_valid_source_spans"": 2}"
rf-edit-0016::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,3,1,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0016::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,3,1,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0021::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,6,4,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0021::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,6,4,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0023::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0023::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0024::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0024::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0025::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,7,3,"{""added_determiner_head_noun"": 1}"
rf-edit-0025::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,7,3,"{""added_determiner_head_noun"": 1}"
rf-edit-0026::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,7,6,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0026::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,6,6,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 2}"
rf-edit-0033::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,6,1,"{""added_determiner_head_noun"": 1}"
rf-edit-0033::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,7,3,"{""added_determiner_head_noun"": 1}"
rf-edit-0034::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,7,6,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0034::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,7,6,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0035::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,6,2,"{""added_noun_left_context"": 1, ""added_noun_right_context"": 1}"
rf-edit-0035::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,7,3,"{""added_noun_left_context"": 1, ""added_noun_right_context"": 1}"
rf-edit-0039::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,3,"{""added_left_clause_context"": 1, ""added_right_clause_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0039::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,3,"{""added_left_clause_context"": 1, ""added_right_clause_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0051::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,True,False,True,False,6,2,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1}"
rf-edit-0051::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,6,2,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1}"
rf-edit-0052::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0052::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0056::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,3,3,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0056::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,3,3,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0058::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_determiner_head_noun"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0058::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,6,2,"{""added_determiner_head_noun"": 1}"
rf-edit-0062::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_pronoun_context"": 1, ""kept_existing_valid_source_spans"": 2}"
rf-edit-0062::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_pronoun_context"": 1, ""kept_existing_valid_source_spans"": 2}"
rf-edit-0068::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 2}"
rf-edit-0068::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0074::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,6,4,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0074::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,9,6,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1}"
rf-edit-0077::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0077::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_noun_left_context"": 1, ""added_noun_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0081::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0081::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0092::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,6,4,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0092::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,6,4,"{""added_preposition_complement"": 1, ""added_preposition_governor"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0098::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0098::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0107::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,7,6,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0107::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,7,6,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0111::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0111::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0114::qwen3_8b::rule_grounded::evidence_canonicalized,False,True,True,False,True,False,True,False,6,2,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1}"
rf-edit-0114::qwen3_8b::natural::evidence_canonicalized,False,True,True,False,False,False,False,False,4,2,"{""added_verb_left_context"": 1, ""added_verb_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0118::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 2}"
rf-edit-0118::qwen3_8b::rule_grounded::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_right_context"": 1, ""kept_existing_valid_source_spans"": 1}"
rf-edit-0123::qwen3_8b::natural::evidence_canonicalized,True,True,False,False,False,False,False,False,2,2,"{""added_left_context"": 1, ""added_modified_token_evidence"": 1, ""kept_existing_valid_source_spans"": 1}"
