item_id,priority,disagreement_count,disagreement_dimensions,dataset,model_key,model_family,model_behavior,error_type,explanation_type,source,model_prediction,model_edit,explanation,A_edit_alignment,B_edit_alignment,A_edit_validity,B_edit_validity,A_rule_correctness,B_rule_correctness,A_evidence,B_evidence,A_faithfulness,B_faithfulness,A_notes,B_notes,final_edit_alignment,final_edit_validity,final_rule_correctness,final_evidence,final_faithfulness,adjudication_notes
r10-faith-00260,P2,1,rule_correctness_label,EXPECT,coedit_large,instruction-following text editor,correct_correction,U:PREP,explicit_template,We should use of public transport because at the present there are a lot of cars in the world that pollute and unfortunately we are harming the environment and the world .,"We should use public transport because, at the present, there are a lot of cars in the world that pollute and, unfortunately, we are harming the environment and the world.","delete ""of""","This edit should delete ""of"" at source span [3,4) for U:PREP.",correct,correct,valid,valid,correct,not_applicable,not_provided,not_provided,partially_faithful,partially_faithful,,,correct,valid,correct,not_provided,partially_faithful,Explanation identifies the edit and unnecessary preposition category but gives no contextual evidence such as the verb-object relation.
r10-faith-00873,P0,5,"edit_alignment_label, edit_validity_label, rule_correctness_label, evidence_label, faithfulness_label",EXPECT,coedit_large,instruction-following text editor,correct_correction,U:DET,gee_style_automatic,Computers have had a most significant impact on the people in the latter 1/2 of the 20th century .,Computers have had a most significant impact on people in the latter half of the 20th century.,"delete ""the""","The phrase near span [8,9) violates U:DET; use an article or determiner licensed by the noun phrase.",partially_correct,incorrect,valid,stylistic,partially_correct,incorrect,partially_correct,incorrect,partially_faithful,unfaithful,"Identifies a determiner issue near the edit but does not explicitly say to delete ""the"" or cite generic plural ""people"".","Explanation refers to wrong span and misstates the edit; deleting ""the"" before ""people"" is stylistic, not a determiner error.",partially_correct,valid,partially_correct,not_provided,partially_faithful,Identifies the determiner span but does not explicitly state deletion or cite the plural/generic noun evidence.
r10-faith-01009,P2,1,edit_validity_label,EXPECT,coedit_large,instruction-following text editor,correct_correction,U:DET,generic,Technology will have advanced and maybe the cars will fly above streets and computers will have totally changed .,"Technology will have advanced, and maybe cars will fly above the streets, and computers will have totally changed.","delete ""the""",The sentence has a grammar issue and should be improved.,incorrect,incorrect,valid,invalid,not_applicable,not_applicable,not_provided,not_provided,unfaithful,unfaithful,,"The model actually adds ""the"" before ""streets"" and commas, not deletes ""the""; generic explanation.",incorrect,valid,not_applicable,not_provided,unfaithful,Generic explanation does not identify the article deletion.
r10-faith-00944,P0,4,"edit_alignment_label, rule_correctness_label, evidence_label, faithfulness_label",EXPECT,coedit_large,instruction-following text editor,correct_correction,R:VERB,rule_grounded_automatic,"i love my family especially my little sister , she has sixteen years old , i consider her my best friend because i usually tell her everything about my life .","I love my family, especially my little sister. She is sixteen years old. I consider her my best friend because I usually tell her everything about my life.","replace ""has"" with ""is""","Use the verb form required by the subject and tense. In this sentence, the evidence is around ""has"".",partially_correct,correct,valid,valid,incorrect,partially_correct,incorrect,partially_correct,unfaithful,partially_faithful,"The issue is the age expression requires be, not subject-tense agreement; evidence should be ""sixteen years old"".","The rule is vague and the evidence is underspecified, though the edit is correctly identified.",partially_correct,valid,incorrect,incorrect,unfaithful,"The edit is valid, but age expressions require be; subject and tense do not justify replacing agreeing has."
r10-faith-00852,P2,1,evidence_label,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:PREP,rule_only,The traffic can affect cars and buses at the same extent .,The traffic can affect cars and buses to the same extent.,"replace ""at"" with ""to""",Use the preposition required by the surrounding phrase. The explanation intentionally omits the target edit.,partially_correct,partially_correct,valid,valid,partially_correct,partially_correct,not_provided,partially_correct,partially_faithful,partially_faithful,Explanation identifies a preposition choice but omits the at-to target and specific phrase evidence.,Explanation identifies preposition choice but omits the specific target and collocation.,partially_correct,valid,correct,partially_correct,partially_faithful,Explanation concerns the preposition edit but omits the exact source/target and only vaguely identifies the phrase evidence.
r10-faith-00856,P2,2,"rule_correctness_label, evidence_label",EXPECT,coedit_large,instruction-following text editor,correct_correction,R:PREP,wrong_direction,The traffic can affect cars and buses at the same extent .,The traffic can affect cars and buses to the same extent.,"replace ""at"" with ""to""","The sentence should change from ""to"" back to ""at"".",incorrect,incorrect,valid,valid,not_applicable,incorrect,not_provided,incorrect,unfaithful,unfaithful,Explanation reverses the edit direction.,Explanation reverses source and target and gives the wrong direction.,incorrect,valid,not_applicable,not_provided,unfaithful,Explanation reverses the model edit direction.
r10-faith-00857,P2,1,evidence_label,EXPECT,coedit_large,instruction-following text editor,correct_correction,R:PREP,wrong_rule,The traffic can affect cars and buses at the same extent .,The traffic can affect cars and buses to the same extent.,"replace ""at"" with ""to""",Use a comma because every grammar error here is punctuation-related.,incorrect,incorrect,valid,valid,incorrect,incorrect,not_provided,incorrect,unfaithful,unfaithful,"Explanation concerns punctuation/comma, not the preposition replacement.","Explanation refers to punctuation/comma use, not the preposition edit.",incorrect,valid,incorrect,not_provided,unfaithful,"Explanation describes a punctuation/comma change, not the preposition replacement."
r10-faith-01005,P0,3,"edit_alignment_label, edit_validity_label, faithfulness_label",EXPECT,coedit_large,instruction-following text editor,correct_correction,U:DET,wrong_target,Technology will have advanced and maybe the cars will fly above streets and computers will have totally changed .,"Technology will have advanced, and maybe cars will fly above the streets, and computers will have totally changed.","delete ""the""","This edit should delete ""the"".",correct,incorrect,valid,invalid,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,unfaithful,,"The model actually inserted ""the"" before ""streets"" and removed it before ""cars""; the described deletion does not match this atomic edit.",correct,valid,not_applicable,not_provided,partially_faithful,Explanation identifies or references the edit but gives no rule or contextual evidence.
r10-faith-00293,P0,2,"edit_alignment_label, faithfulness_label",EXPECT,coedit_large,instruction-following text editor,overcorrection,R:OTHER,gee_style_automatic,We should use of public transport because at the present there are a lot of cars in the world that pollute and unfortunately we are harming the environment and the world .,"We should use public transport because, at the present, there are a lot of cars in the world that pollute and, unfortunately, we are harming the environment and the world.","replace ""and"" with ""and,""","The phrase near span [21,22) violates R:OTHER; apply the grammar rule indicated by the local context.",partially_correct,incorrect,stylistic,stylistic,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,unfaithful,"Comma after ""and"" is optional punctuation around parenthetical ""unfortunately"".",Explanation is generic and does not identify the comma insertion after 'and'.,incorrect,valid,not_applicable,not_provided,unfaithful,"Explanation is generic and does not describe the comma insertion after ""and""."
r10-faith-00271,P2,1,edit_validity_label,EXPECT,coedit_large,instruction-following text editor,overcorrection,R:OTHER,masked_target_template,We should use of public transport because at the present there are a lot of cars in the world that pollute and unfortunately we are harming the environment and the world .,"We should use public transport because, at the present, there are a lot of cars in the world that pollute and, unfortunately, we are harming the environment and the world.","replace ""because"" with ""because,""","This edit should replace ""because"" with ""[MASK]"" at source span [6,7) for R:OTHER.",partially_correct,partially_correct,stylistic,invalid,not_applicable,not_applicable,not_provided,not_provided,partially_faithful,partially_faithful,Target is masked; comma after because is an optional punctuation/style choice with parenthetical phrasing.,"Target is masked; adding a comma directly after ""because"" here is not standard punctuation.",partially_correct,stylistic,not_applicable,not_provided,partially_faithful,Target is masked; comma after “because” is optional punctuation with the parenthetical phrase.
