candidate_id,bucket,audit_priority,candidate_type,dataset,model_key,behavior,operation,error_type,risk_count,risk_reasons
rf-edit-0026::qwen3_8b::natural::evidence_canonicalized,accepted,stratum:behavior=wrong_correction,evidence_canonicalized,JFLEG,gector_roberta_base,wrong_correction,replace,R:DET,7,missing_evidence;target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0021::qwen3_8b::natural::evidence_canonicalized,accepted,risk,evidence_canonicalized,JFLEG,gector_roberta_base,wrong_correction,replace,R:OTHER,6,missing_evidence;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0021::qwen3_8b::rule_grounded::evidence_canonicalized,accepted,risk,evidence_canonicalized,JFLEG,gector_roberta_base,wrong_correction,replace,R:OTHER,6,missing_evidence;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0026::qwen3_8b::rule_grounded::evidence_canonicalized,accepted,risk,evidence_canonicalized,JFLEG,gector_roberta_base,wrong_correction,replace,R:DET,6,target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0033::qwen3_8b::natural::evidence_canonicalized,accepted,risk,evidence_canonicalized,EXPECT,gector_roberta_base,overcorrection,delete,U:DET,6,evidence_span_index_mismatch;evidence_not_all_source_index_matched;evidence_text_not_found_in_source;missing_evidence;edit_copy;unsupported_confidence
rf-edit-0092::qwen3_8b::natural::evidence_canonicalized,accepted,risk,evidence_canonicalized,EXPECT,gector_roberta_base,overcorrection,replace,R:PREP,6,missing_evidence;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0092::qwen3_8b::rule_grounded::evidence_canonicalized,accepted,risk,evidence_canonicalized,EXPECT,gector_roberta_base,overcorrection,replace,R:PREP,6,missing_evidence;target_copy;edit_copy;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0114::qwen3_8b::rule_grounded::evidence_canonicalized,accepted,risk,evidence_canonicalized,JFLEG,gector_roberta_base,overcorrection,replace,R:VERB:FORM,6,evidence_prediction_only_text;missing_evidence;wrong_evidence_auto;target_copy;edit_copy;unsupported_confidence
rf-edit-0151::qwen3_8b::natural::evidence_canonicalized,accepted,risk,evidence_canonicalized,EXPECT,t5_base_grammar,overcorrection,insert,M:OTHER,6,target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0151::qwen3_8b::rule_grounded::evidence_canonicalized,accepted,risk,evidence_canonicalized,EXPECT,t5_base_grammar,overcorrection,insert,M:OTHER,6,target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0170::qwen3_8b::natural::evidence_canonicalized,accepted,risk,evidence_canonicalized,EXPECT,t5_base_grammar,wrong_correction,insert,M:DET,6,target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
rf-edit-0170::qwen3_8b::rule_grounded::evidence_canonicalized,accepted,risk,evidence_canonicalized,EXPECT,t5_base_grammar,wrong_correction,insert,M:DET,6,target_copy;edit_copy;possible_false_rationalization;unsupported_confidence;validity_error_auto;semantic_distortion_auto
